Date,Close,High,Low,Open,Volume,IU,HD,XL,PD,YU,EP,XC,MG,CP,SQ,SF,MI,AO,TP,RO,XA,ID,PG,SH,EL,SA,DU,CC,KK,AZ,PC,ZR,NI,BQ,IN,AG,IH,ZP,YP,AK,BR,PI,OD,DR,TF,QA,BK,YJ,LG,RG,KI,GR,YB,DH,IF,AT,FS
2026-07-13,74.0,76.0,68.0,76.0,23184700,0.0,0.0151,0.2117,0.0333,-0.0198,-0.0124,0.0717,0.0292,-0.0,0.0083,0.0,0.0,0.0257,0.0,0.0,-0.0008,0.0,0.0121,0.0176,0.0128,-0.0206,0.025,-0.5362,0.0134,0.0018,0.0308,0.0,0.0057,0.0041,0.0,0.0,-0.0095,-0.0135,-0.0184,0.0027,0.0421,0.0178,0.0035,0.0,0.0,0.0007,0.0159,0.0188,0.0,0.0,0.0,0.0,-0.0003,0.0121,-0.001,0.0007,-0.0
2026-07-14,73.0,76.0,72.0,74.0,17979700,0.0009,-0.0329,-0.1029,0.0037,-0.0193,-0.0296,0.0162,0.0418,0.0093,-0.0062,-0.0116,-0.0148,0.0,-0.0084,0.0043,-0.0127,0.0194,-0.0037,-0.0499,0.0222,0.1077,0.0018,0.0926,0.0011,-0.0005,-0.0137,-0.0192,0.0008,0.0,0.0116,0.0,0.0065,-0.009,-0.0025,0.0258,-0.0308,0.0088,0.0044,-0.0367,0.0,0.0,0.0,0.0111,0.0,0.0133,0.0,0.0,0.0003,0.0017,0.0,-0.0008,0.0
2026-07-15,75.0,78.0,72.0,73.0,19232500,0.0365,0.0006,-0.0075,0.0067,0.0107,0.0002,0.0465,-0.0055,0.0162,0.0073,0.0023,0.0,-0.008,0.0398,-0.0276,-0.0081,0.0299,-0.0147,0.0187,-0.0536,-0.1025,-0.0317,0.0853,0.002,0.0438,-0.0594,0.0,-0.0014,-0.0032,-0.027,0.0,-0.0311,0.004,0.0028,0.0239,-0.0113,0.0,-0.0082,0.0,0.0,0.0,0.0056,0.0168,0.0079,-0.011,0.0001,0.0077,0.0075,-0.011,-0.0002,0.0,0.0
2026-07-16,75.0,77.0,74.0,75.0,17965500,0.0,0.003,-0.0753,-0.0226,-0.0029,-0.0043,-0.0011,-0.0592,0.0053,-0.0076,0.0039,0.0228,-0.0188,0.0,0.0018,0.0008,-0.0154,0.0004,-0.0268,0.0008,0.02,-0.0286,0.1347,-0.005,-0.0239,0.0222,0.0348,-0.0034,-0.0086,-0.0064,0.0,-0.0025,-0.0042,0.001,0.0047,0.0121,0.0016,-0.0009,0.0,0.0001,-0.0008,0.0012,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,75.0,76.0,74.0,75.0,15391400,-0.0188,-0.0024,-0.0529,0.006,0.0116,0.0247,-0.0032,-0.0189,-0.0076,-0.0006,-0.0056,-0.0225,0.0029,-0.0049,0.006,-0.005,0.0411,0.0197,-0.0336,0.018,0.0075,0.0698,0.0603,0.0037,-0.0176,-0.0418,-0.0001,0.0,0.0004,-0.0054,0.0001,0.0035,0.0015,-0.0239,-0.0017,0.0008,-0.0103,-0.0001,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,79.0,86.0,75.0,75.0,38522300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,79.0,81.0,76.0,78.0,16042600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,79.0,81.0,77.0,79.0,13161100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,79.0,85.0,78.0,79.0,23527700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,79.0,81.0,78.0,80.0,8973400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
