Date,Close,High,Low,Open,Volume,QA,SQ,XC,LG,XA,KK,CP,OD,EP,XL,YP,DH,CC,TP,YB,NI,BQ,OK,HD,PD,AZ,PC,AT,BK,AG,RO,CD,YU,DX,TF,DR,GR
2026-07-13,69.0,70.0,67.0,67.0,4237800,0.0,-0.0047,0.0034,-0.0,0.0,-0.0001,-0.0075,0.0045,-0.0022,-0.0623,0.0732,-0.0003,0.0132,-0.0068,-0.0014,-0.0044,-0.0009,0.0,-0.0077,0.0061,0.0,0.0,-0.0021,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0001,0.0
2026-07-14,69.0,71.0,68.0,70.0,5285700,-0.0003,0.0051,0.0632,-0.0,-0.0006,-0.0126,0.0002,0.0017,-0.0021,-0.0107,-0.0316,-0.0006,0.0554,0.0,0.0004,-0.049,-0.0054,0.0,0.0,-0.0206,0.0,0.0,0.0,0.0003,0.0,0.0,0.0021,0.0011,0.0001,0.0007,0.0032,0.0
2026-07-15,69.0,70.0,68.0,69.0,2347000,0.0,0.0,0.0044,0.0,0.0,-0.0044,0.0,-0.0011,0.0002,-0.0352,0.0109,0.0,0.0151,0.0,0.0013,0.0019,0.0061,0.0,0.0006,-0.0014,0.0,0.0,0.0,0.0019,0.0,0.0019,-0.0021,0.0,0.0,0.0,0.0,0.0
2026-07-16,70.0,70.0,68.0,69.0,2347000,0.0,0.0089,0.0049,0.0,-0.0001,-0.024,0.0,0.0022,-0.0007,-0.0371,0.0158,-0.0004,0.0458,0.0,-0.0013,0.0016,-0.0007,0.0,-0.0004,-0.0077,-0.0057,0.0,0.0007,0.0003,-0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,70.0,70.0,68.0,70.0,3098300,0.0,0.0011,-0.0046,0.0,0.0,0.0,-0.0001,0.0025,-0.0001,-0.0248,-0.0316,0.0011,0.0054,0.0036,-0.0,-0.0143,-0.0014,0.0677,-0.0001,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,71.0,72.0,69.0,70.0,5338900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,71.0,72.0,69.0,72.0,2377500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,71.0,72.0,69.0,71.0,3399700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,70.0,71.0,69.0,71.0,4911400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,69.0,70.0,68.0,70.0,2840500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
