Date,Close,High,Low,Open,Volume,CD,XL,PD,YP,CC,XA,NI,DR,EP,LS,LG,XC,OD,KK,SQ,HP,RO,GR,YJ,AK,AT
2026-07-13,7200.0,7475.0,7100.0,7300.0,6500,0.0,-0.006,0.0,-0.0,-0.0022,0.0,0.0,0.0,-0.0007,-0.0101,-0.0007,0.0212,0.0007,0.0,0.0,0.0,0.0,0.0,-0.0022,0.0,0.0
2026-07-14,7250.0,7400.0,7000.0,7200.0,18800,0.0,0.0537,0.0,-0.0193,-0.0014,0.0,0.0014,0.0,-0.0,0.0,0.0,0.0175,-0.0141,0.0014,-0.0007,-0.0292,0.0,0.0071,-0.0155,0.0007,-0.0014
2026-07-15,7225.0,7250.0,7150.0,7250.0,4600,-0.0014,-0.0013,0.0,0.0,-0.0,0.0,-0.0072,0.0,0.0,0.0,0.0,0.0136,-0.0007,0.0036,0.0,-0.0073,0.0007,0.0,0.0,0.0,0.0
2026-07-16,7125.0,7300.0,7000.0,7000.0,5700,0.0,0.0029,0.0,-0.0001,-0.0065,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0006,0.0058,-0.0007,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,7150.0,7200.0,6900.0,7125.0,19500,-0.0021,0.0424,0.0021,0.0139,0.0014,0.0007,0.0007,0.0,-0.0,-0.1152,0.0007,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,7050.0,7500.0,7000.0,7500.0,14700,,,,,,,,,,,,,,,,,,,,,
2026-07-21,7375.0,7450.0,7200.0,7200.0,41800,,,,,,,,,,,,,,,,,,,,,
2026-07-22,7700.0,7700.0,7375.0,7375.0,72400,,,,,,,,,,,,,,,,,,,,,
2026-07-23,8300.0,8500.0,7650.0,7650.0,55200,,,,,,,,,,,,,,,,,,,,,
2026-07-24,8050.0,9500.0,7950.0,8325.0,126100,,,,,,,,,,,,,,,,,,,,,
