Date,Close,High,Low,Open,Volume,XC,KK,CP,BB,AK,EP,XL,YP,CC,PD,YU,NI,DH,DP,TP,AO,GR,BK,SQ,QA,LG,KZ,OD,XA,DX,DR
2026-07-13,6300.0,6325.0,6225.0,6300.0,138500,0.0,0.0013,0.0258,0.0,-0.2772,0.0,-0.0585,-0.0139,-0.1711,-0.0025,-0.0227,0.7842,0.0,0.0,0.0151,0.0,0.0,0.0152,-0.1117,0.0,0.0,0.0,0.0,-0.189,0.0063,-0.0013
2026-07-14,6300.0,6350.0,6175.0,6300.0,60800,0.0006,0.0,0.1646,0.0,-0.0164,0.0,0.0423,0.0038,0.0038,0.0069,0.0006,-0.311,0.0,0.0,0.0,-0.0114,-0.019,0.0063,0.0119,-0.0088,0.0289,0.0969,-0.0,0.0,0.0,0.0
2026-07-15,6325.0,6350.0,6300.0,6350.0,169900,0.0,-0.2407,0.0,0.0,-0.029,0.0006,-0.0132,0.0,0.0019,-0.0561,0.0006,0.8725,0.1271,-0.446,-0.1595,-0.0146,-0.0443,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,6325.0,6350.0,6300.0,6325.0,51100,0.0006,-0.0538,0.0019,-0.0006,0.0253,0.0,-0.0712,0.0,0.0958,0.0063,0.0025,-0.0063,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,6350.0,6350.0,6300.0,6325.0,29400,-0.0126,-0.0272,0.0284,-0.0965,-0.0329,0.0254,0.0541,0.0006,0.0259,0.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6325.0,6350.0,6300.0,6350.0,58900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,6325.0,6350.0,6300.0,6325.0,31000,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,6300.0,6350.0,6300.0,6300.0,13700,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6300.0,6325.0,6300.0,6300.0,10300,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,6325.0,6350.0,6300.0,6325.0,111500,,,,,,,,,,,,,,,,,,,,,,,,,,
