Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,AT,EP,RB,YP,DH,CC,YB,BQ,NI,IU,PD,QA,SQ,YJ,KK,CP,ZP,ZR,KI,AG,OD,AI,XL,FZ,MG,TP,DD,IF,GR,BR,FS,HP,RO,DR
2026-07-13,134.0,134.0,127.0,130.0,2007300,-0.0194,0.0011,0.0006,0.0249,0.0,0.0,0.0012,0.0,0.0146,0.0,0.0216,0.0,0.0,-0.0005,0.0,-0.0279,0.0,0.0003,0.0,0.0042,-0.0012,0.0,0.0,0.0,0.0,-0.0036,0.0,-0.0422,0.0,0.0262,0.0,0.0,0.0,0.0191,0.0,0.0,-0.019,0.0,0.0
2026-07-14,131.0,137.0,130.0,134.0,1714600,-0.0023,0.0,0.0038,-0.0005,0.0026,0.0,0.0013,0.0,-0.0484,-0.0001,-0.0175,0.0033,0.0,0.0018,-0.0,0.0284,0.0,0.05,0.0013,-0.0023,-0.0001,0.0,0.0,0.0,0.0,0.0046,0.0,-0.0516,0.0001,0.023,0.0,0.0,0.0,0.0035,0.0,0.0,-0.0013,-0.0001,0.0007
2026-07-15,132.0,134.0,130.0,132.0,1838400,-0.0012,0.0,-0.0014,0.0,0.0,0.0,0.0033,0.0267,0.0015,-0.0004,-0.0034,0.0,0.0,0.0082,0.0,-0.0389,0.0,0.1129,-0.003,0.0005,-0.0041,0.0,0.0,-0.0,0.0,-0.0031,0.0,-0.0952,0.0,-0.0004,0.0,0.0,0.0,-0.0014,0.0,0.0,-0.0004,0.0001,0.0
2026-07-16,134.0,137.0,130.0,133.0,1831700,-0.0053,0.0,-0.0009,-0.0242,0.0,0.0,-0.0051,0.0,-0.0134,0.0,0.0263,0.0,0.0007,0.1094,-0.002,-0.0001,0.0,0.0005,0.0,-0.0347,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0,-0.0236,0.0,-0.0351,0.0111,0.0,0.0,-0.0023,0.0,0.0,0.0,-0.0,0.0001
2026-07-17,145.0,156.0,135.0,136.0,60412800,-0.144,-0.0049,-0.0109,0.001,-0.0215,0.0014,-0.0137,0.114,0.0002,0.0248,0.1573,0.0448,0.1039,-0.1146,-0.0076,-0.246,0.0004,-0.2461,0.02,0.0201,-0.019,0.1485,0.0105,0.0044,0.0209,-0.0744,-0.001,0.6487,-0.0,-0.0753,-0.0567,0.0022,-0.0015,-0.375,-0.001,-0.0,-0.0021,0.0002,0.092
2026-07-20,142.0,146.0,140.0,146.0,7425300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,142.0,145.0,141.0,143.0,3915400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,142.0,144.0,141.0,142.0,2607800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,140.0,145.0,140.0,141.0,4050900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,136.0,139.0,135.0,139.0,3627200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
