Date,Close,High,Low,Open,Volume,XC,XL,BQ,CC,MG,YP,KK
2026-07-13,270.0,270.0,262.0,270.0,1400,0.0003,-0.0,0.0,0.0,0.0,0.0,-0.0003
2026-07-14,268.0,270.0,260.0,270.0,5000,0.0001,0.0001,0.0,-0.0001,0.0,0.001,-0.0012
2026-07-15,268.0,268.0,262.0,268.0,62900,-0.0001,0.0158,0.0,0.0,-0.0157,0.0005,-0.0006
2026-07-16,268.0,268.0,268.0,268.0,4600,0.0001,0.0012,0.0,-0.0012,0.0,0.0,0.0
2026-07-17,264.0,266.0,246.0,266.0,900,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,264.0,266.0,264.0,264.0,1900,,,,,,,
2026-07-21,260.0,272.0,244.0,264.0,33200,,,,,,,
2026-07-22,266.0,266.0,256.0,260.0,7800,,,,,,,
2026-07-23,262.0,262.0,256.0,258.0,31900,,,,,,,
2026-07-24,262.0,262.0,260.0,260.0,11900,,,,,,,
