Date,Close,High,Low,Open,Volume,CP,RO,PD,OD,MG,SQ,AT,YP,KK,XC,LG,CC,XL,YJ,NI,BQ,KI,QA,YU,YB,YO,HP,TP,DH,BR,DX,EP,SF,GI,IC,DR,IU,GR,IF,FZ,HD,XA,AZ,AI
2026-07-13,31.0,32.0,29.0,31.0,4996400,0.0091,0.0,-0.0002,0.0,0.0069,0.0,0.0135,0.0056,0.0003,0.0055,0.0,0.0027,0.0168,0.0012,0.0,0.0002,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0003,-0.084,0.0026,0.0003,0.0,-0.0,0.0002,0.0023,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,31.0,31.0,30.0,31.0,2886400,-0.0142,0.0,0.0002,0.0001,-0.0009,0.0,-0.001,0.003,0.0,0.0137,0.0,0.0085,0.0547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0649,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,30.0,31.0,29.0,30.0,2963900,0.012,0.0,0.0,0.0001,0.0,0.0,-0.0073,0.0039,0.0002,-0.0138,0.0,-0.0042,0.0163,0.0009,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0005,0.0,0.0303,0.0006,-0.036,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,30.0,30.0,29.0,30.0,568400,0.0,0.0,0.0,0.0003,-0.0012,0.0,0.0004,0.0012,0.0,-0.0038,0.0,-0.0,0.002,-0.0006,0.0,0.0,0.0011,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,29.0,30.0,29.0,29.0,780500,-0.009,0.0,-0.0001,0.0001,0.0015,0.0,-0.0058,-0.0,-0.0,-0.0042,0.0,0.0016,0.0163,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,31.0,31.0,29.0,29.0,5711700,-0.0112,-0.0001,-0.0029,-0.0001,-0.0009,-0.0037,0.0005,-0.0081,-0.0002,-0.0074,0.0,-0.0055,0.0569,-0.0016,0.0031,-0.0001,-0.0002,0.0013,0.0,-0.0001,0.0,0.0,-0.031,-0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003
2026-07-21,33.0,34.0,29.0,32.0,39886200,0.015,0.0005,0.0038,0.0278,0.0031,0.0018,0.0011,-0.0021,0.0014,0.0213,0.0002,-0.1062,0.1371,0.0017,-0.0068,0.0003,-0.002,-0.0055,0.0003,0.0013,0.0,0.0,0.0,-0.0223,-0.1122,0.0,0.001,0.0,0.0,0.0,0.0383,0.0,0.0015,-0.0001,0.0002,0.0,-0.0,-0.0002,-0.0003
2026-07-22,32.0,34.0,31.0,33.0,5210400,0.0129,0.0,-0.0003,0.0001,0.0003,-0.0009,0.0,0.02,-0.0003,-0.0018,-0.0157,0.0156,-0.0317,-0.0034,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,-0.0004,0.0062,0.0,0.0,800.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0001,-0.0004,0.0,0.0,0.0
2026-07-23,33.0,34.0,30.0,31.0,9396700,0.0511,-0.0005,0.0021,-0.0246,-0.0019,0.0,0.0006,-0.0048,-0.001,-0.0008,0.0,-0.0314,-0.0582,0.0,0.0004,0.0493,-0.0,0.0004,0.0,-0.0209,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0385,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,31.0,33.0,31.0,32.0,2654300,0.031,0.0,0.0054,-0.0011,0.0028,0.0,0.0,0.0031,0.0009,0.0034,0.0,-0.0288,0.0162,0.0,0.0001,-0.0298,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
