Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,II,BQ,CC,XL,AK,YP,NI,KI,KK,AT,XC,SQ,DR,PD,HP,OD,AZ,YB,LG,MG,RO
2026-07-13,520.0,535.0,515.0,530.0,49600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,0.0044,-0.0015,0.0,-0.0003,0.0,0.0,0.0,0.0,-0.0021,0.0003,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0,-0.0002
2026-07-14,525.0,535.0,515.0,530.0,28100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,-0.0011,-0.0011,0.0,0.0002,0.0,0.0,0.0,0.0022,0.0008,0.0008,0.0,0.0026,0.0,-0.0021,0.0,0.0,0.0001,-0.0024,0.0
2026-07-15,520.0,530.0,505.0,520.0,43000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0,0.0,0.0075,-0.0076,-0.0019,-0.0005,0.0,0.0,0.0001,-0.0026,0.0029,0.0003,-0.0003,0.0,0.0047,0.0003,0.0001,-0.0029,0.0,0.0,0.0
2026-07-16,515.0,525.0,505.0,525.0,89500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,-0.0043,0.0087,-0.0019,0.0179,-0.023,0.0,0.0,0.0,0.0013,0.0,0.0006,-0.0026,0.0031,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,510.0,535.0,505.0,515.0,156600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0,0.0018,0.0059,0.0007,-0.002,-0.0008,0.0001,0.0001,0.0001,0.0001,-0.0009,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,515.0,515.0,505.0,515.0,21900,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,520.0,520.0,515.0,515.0,87300,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,525.0,535.0,515.0,520.0,36300,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,525.0,530.0,510.0,525.0,64900,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,510.0,535.0,505.0,535.0,19700,,,,,,,,,,,,,,,,,,,,,,,
