Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,CC,DU,OD,YB,QA,SQ,YP,YU,HP,XC,LG,KK,XL,AK,YJ,ZP,AT,AI,TP,DH,PD,BQ,AZ,MG,KI,BR,AR,GR,HD,IH,CP,DR,DX,IF,EP,AG,LS,AO,KZ,ZR,PG
2026-07-13,117.0,120.0,116.0,120.0,78111800,-0.2641,0.0056,0.0,0.5371,-0.5187,-0.5549,0.0018,0.0,0.0012,0.0,0.0106,0.0,0.0,0.0297,-0.002,0.041,0.1363,-0.013,0.0,-0.0576,0.0087,0.0082,0.0,0.0036,0.0197,-0.024,0.0002,0.2222,-0.0,0.2153,0.0,0.0296,-0.007,0.0602,0.0232,0.0033,0.0,0.0,-0.005,0.0,0.0213,0.0,0.0,0.0088,0.059
2026-07-14,119.0,119.0,116.0,117.0,77738700,-0.0224,-0.001,0.0,0.8977,0.1547,0.5492,-0.0009,-0.0015,0.0006,0.0014,0.007,0.0,0.0,-0.032,-0.0,-0.0061,-0.2377,0.0535,0.0,0.0295,0.0246,-0.0083,0.0,-0.0005,-0.0268,0.0005,-0.0004,-0.026,0.0,-0.1839,0.0,0.075,-0.0002,-0.0095,-1.3,0.0,0.0585,0.0,-0.0115,0.0,-0.0215,0.0,0.0001,-0.0089,0.0
2026-07-15,121.0,121.0,116.0,119.0,102645200,-0.0588,-0.0105,-0.0006,-0.7173,0.111,0.0,-0.0003,-0.0049,-0.0009,0.0005,-0.0203,0.0,0.0,-0.0567,0.0009,-0.0664,0.0776,0.0615,0.0,0.0013,-0.0316,-0.0001,0.0,-0.0033,-0.0254,-0.0248,0.0131,-0.1651,-0.0003,-0.137,0.0,-0.0376,-0.0001,-0.0726,1.2,-0.0033,0.0,0.0,-0.0111,0.0011,-0.0002,-0.0003,0.0,0.0,0.0
2026-07-16,123.0,123.0,119.0,121.0,102246400,0.0485,0.0035,0.0,0.8685,0.2226,-0.363,-0.0119,-0.0073,-0.0002,0.0034,0.4054,0.0,0.0,-0.0233,-0.0064,-0.0028,-0.2706,0.0205,0.0,-0.0291,-0.0002,0.0,-0.0002,-0.0006,-0.0017,0.013,-0.1589,-0.099,-0.0,-0.496,-0.0003,-0.0328,0.0027,-0.0121,0.0005,0.0022,-0.06,-0.0039,-0.0103,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,119.0,125.0,117.0,123.0,80241400,-0.1486,0.0442,-0.0,0.4337,-1.3,0.357,0.0081,0.0246,0.0024,0.0149,0.141,0.0182,0.0057,0.1583,0.0053,0.0347,0.4739,-0.2325,-0.0001,-0.0527,-0.4804,0.0178,0.0121,0.0049,0.0727,-0.003,0.2668,0.4505,0.0042,0.7356,0.0245,0.0025,0.0135,-0.0117,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,121.0,121.0,116.0,118.0,99105300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,122.0,125.0,120.0,121.0,87660300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,121.0,122.0,119.0,122.0,61854500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,120.0,121.0,118.0,120.0,65752800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,117.0,120.0,116.0,120.0,55212500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
