Date,Close,High,Low,Open,Volume,XC,LG,AZ,XA,PC,AT,AK,EP,YP,DH,CC,YB,BQ,NI,IU,PD,QA,SQ,YJ,KK,LS,CP,KI,AG,OD,DX,XL,AI,FZ,MG,TP,RG,RF,IF,PG,GR,HP,RO,DR,YU,GI,SF,ES,SA,ZP,FS,CD,IH,HD,BK,JB,AO,BR,ZR,SH,ID
2026-07-13,79.0,83.0,64.0,64.0,691896300,0.0376,0.0025,0.0032,-0.0137,0.0,0.0366,-0.0463,-0.0745,-0.8377,-0.0176,0.3444,0.0199,0.0766,0.0599,0.0,-0.0916,-0.0428,-0.2017,-0.0339,0.0973,0.0,-0.2489,-0.0013,-0.0135,0.0029,0.0055,1.0,-0.0052,0.0002,0.1909,-0.017,-0.0151,-0.0242,-0.0611,0.0,-0.1168,-0.0009,0.005,-0.0467,0.0011,0.0,0.0,0.0,0.0,0.003,0.0,-0.0078,0.0,0.0,0.0185,0.0264,-0.0008,0.0,-0.0014,-0.0016,-0.0162
2026-07-14,81.0,87.0,73.0,78.0,596505500,-0.0151,0.0077,0.0111,0.0474,-0.0004,-0.0245,-0.0088,0.0051,0.3999,0.0,0.0701,0.0138,-0.1241,0.1015,0.0309,0.3099,0.0049,0.0454,0.0303,0.0187,0.0,0.0269,-0.0057,0.0115,0.0316,-0.0075,-0.5574,0.0,0.0009,-0.2807,0.0192,-0.158,0.0,-0.0015,-0.0688,0.1006,-0.0008,-0.0045,-0.0055,0.0035,0.0,-0.0,0.0008,0.0008,0.0115,0.0,0.0,-0.0001,-0.0,-0.0189,-0.0242,-0.0003,0.0023,0.0,0.0,0.0
2026-07-15,81.0,88.0,78.0,81.0,257271300,0.0754,-0.0027,0.0086,-0.0145,0.0,-0.0181,0.0011,-0.0113,-0.851,0.0008,0.1077,0.0061,0.0283,-0.1255,-0.0085,0.0504,-0.0042,0.0817,0.0004,0.1037,0.0,0.163,0.0,0.0,0.0109,0.0251,0.2669,-0.0003,0.0006,0.0864,-0.0246,0.0,-0.0162,0.0188,0.0,-0.0487,0.0001,0.0013,0.0858,0.0347,0.0,0.0,0.0,-0.0001,-0.0428,-0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,77.0,81.0,75.0,81.0,76186800,-0.0715,-0.0005,0.0019,0.0005,-0.0001,0.0128,0.2874,-0.0268,0.0748,0.0133,0.5537,-0.012,-0.0082,0.1083,0.0299,0.0112,0.0082,0.1001,0.008,-0.2023,0.0,0.056,0.0,-0.0003,0.1676,0.0,-1.0,-0.0008,-0.0008,-0.0049,-0.0008,0.0,0.0,-0.0155,0.0,0.0005,-0.002,0.0043,-0.0427,-0.0024,0.0,0.0005,-0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,78.0,81.0,76.0,79.0,42809600,-0.0728,0.0023,0.0508,0.004,0.0001,-0.0351,-0.2926,0.0078,-0.1155,-0.0084,0.2146,0.0011,0.0017,-0.0065,-0.024,-0.0702,0.0015,-0.0104,-0.008,-0.0397,0.0001,-0.0773,0.0005,0.0,-0.0823,-0.0,0.4983,-0.0,0.001,-0.004,-0.0012,0.078,-0.0078,-0.0005,-0.0004,-0.0024,-0.0077,0.0047,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,77.0,80.0,75.0,78.0,37904700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,78.0,79.0,76.0,78.0,39518800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,77.0,79.0,75.0,79.0,23081800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,80.0,90.0,76.0,77.0,431141700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,75.0,81.0,73.0,80.0,42254000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
