Date,Close,High,Low,Open,Volume,NI,RB,OD,II,YB,DR,SQ,YP,HP,XC,LG,XL,YJ,EP,TP,DH,CD,PD,BQ,AZ,AG,MG,AR,CC,AO,CP,PG,KK,KI,LS,GR,DX,XA,YU,AD,RO,RG,MU,AT,FS,GI,QA,BR,PC
2026-07-13,20.0,21.0,20.0,20.0,8746900,-0.0209,0.0,0.0002,0.0,-0.0,0.0001,0.004,0.041,0.0,-0.0011,0.0,0.0323,0.001,0.0012,0.0002,0.0002,-0.0,-0.0021,0.0006,0.0201,0.0,0.006,0.0,0.0056,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0003,0.0,0.0,-0.0885,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,21.0,21.0,20.0,20.0,11265600,0.0123,0.0,-0.0,0.0,-0.0013,-0.0004,-0.008,-0.0293,0.0001,-0.012,0.0094,0.0789,0.0,-0.0029,0.0,-0.0,-0.0,0.0141,0.0,-0.021,0.0,-0.0357,0.0,-0.0055,0.0,-0.0012,0.0,0.0018,0.0,0.0,0.0005,0.0001,0.0001,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,20.0,21.0,20.0,21.0,6398300,0.0098,0.0,0.0025,0.0,-0.002,0.0,-0.0083,-0.0193,0.0,0.0061,0.0,0.0212,0.0,-0.0155,0.0002,0.0,0.0,0.0134,0.003,0.0105,0.0,-0.0001,0.0,0.0077,0.0,0.0,0.0,0.0058,0.0,0.0004,0.0,0.0011,-0.0408,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,21.0,21.0,20.0,20.0,15807300,0.001,0.0,0.0006,0.0,0.0147,0.0002,0.0484,-0.1156,0.0,0.0074,0.001,0.0118,0.0,0.01,0.0,-0.0672,0.0001,0.0153,0.0,0.035,0.0,0.0378,0.0,-0.0569,0.0,-0.003,0.0001,-0.0023,0.0,0.0216,0.0001,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,21.0,21.0,20.0,21.0,10421200,0.0323,0.0053,-0.0011,-0.02,-0.0158,-0.0005,-0.0561,-0.0414,-0.0004,0.0114,0.0,0.0369,0.0001,0.0103,-0.0021,0.0,-0.0002,0.0458,0.0022,0.026,0.0013,-0.0373,0.0001,0.0063,0.0,-0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,22.0,22.0,22.0,22.0,28198100,-0.076,0.0,-0.003,0.0,-0.0001,-0.0451,0.0288,0.0529,0.0004,0.0096,0.0059,-0.0831,0.0001,-0.0017,0.0003,-0.0516,0.0,-0.0056,-0.0105,-0.0023,-0.0001,0.1386,0.0,-0.0115,0.0,0.0,0.0,-0.0047,0.0,0.0,-0.0007,0.0,-0.102,0.0,0.0,0.0,0.0001,0.2068,0.0002,0.0,0.0,-0.0002,0.0,-0.0453
2026-07-21,22.0,22.0,22.0,22.0,15448500,0.0004,0.0,0.0001,0.0,0.0,0.0004,-0.0561,-0.0946,0.0,-0.0087,0.0004,0.0256,0.0004,0.0001,-0.0,0.0,0.0,0.1861,0.0,0.0,0.0,-0.1192,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0003,0.11,0.0,0.0,0.0,0.0,-0.044,0.0
2026-07-22,22.0,22.0,22.0,22.0,3317100,0.0025,0.0,-0.0,0.0,0.0002,-0.0011,0.0002,-0.0166,0.0001,0.0013,0.0,0.0382,0.0,-0.0011,0.0,0.0006,0.0,0.0028,0.0,0.0,0.0,-0.0198,0.0,0.0018,0.0,0.0,0.0,-0.0011,-0.0031,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,21.0,22.0,21.0,22.0,16247500,0.0017,0.0,0.0148,0.0,0.0008,-0.0011,-0.0103,-0.1702,0.0,0.0027,0.0,-0.0617,-0.0002,0.0049,-0.0019,0.0017,0.0,0.0194,0.0,0.0,-0.0002,0.0129,0.0,0.0081,0.0,0.0,0.0,-0.0,0.0,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.1781,0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-24,21.0,21.0,21.0,21.0,22897000,0.0134,0.0,0.0026,0.0,0.0,-0.0565,0.0047,0.0794,0.0002,0.0159,-0.0,0.0235,0.2101,0.0019,-0.0021,0.0,0.0,-0.0052,0.0,0.0,-0.2143,0.0682,0.0,0.0147,0.0,-0.0003,0.0,0.0012,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,-0.1574,0.0,0.0,0.0,0.0,0.0,0.0
