Date,Close,High,Low,Open,Volume,YP,XA,AZ,XC,XL,CC,BQ,KK
2026-07-13,486.0,486.0,474.0,474.0,18200,-0.0012,-0.0,0.0073,-0.0,-0.0004,0.0,-0.0014,-0.0042
2026-07-14,480.0,484.0,478.0,484.0,16000,0.0001,0.0,-0.0001,-0.0,0.0002,-0.0001,0.0,0.0
2026-07-15,486.0,486.0,484.0,486.0,16800,0.0,0.0,0.0002,0.0,0.0,-0.0002,0.0,0.0
2026-07-16,484.0,484.0,478.0,484.0,17900,-0.0002,0.0,0.0012,-0.0005,-0.0005,0.0,0.0,0.0
2026-07-17,484.0,484.0,484.0,484.0,15100,-0.0007,0.0,0.0007,0.0,0.0,0.0,0.0,0.0
2026-07-20,486.0,486.0,478.0,486.0,25300,,,,,,,,
2026-07-21,478.0,478.0,446.0,478.0,38200,,,,,,,,
2026-07-22,476.0,478.0,468.0,478.0,33400,,,,,,,,
2026-07-23,474.0,476.0,474.0,476.0,25300,,,,,,,,
2026-07-24,474.0,474.0,450.0,456.0,125300,,,,,,,,
