Date,Close,High,Low,Open,Volume,CP,BQ,IF,YP,XA,XL,CC,AK,MU,KK,IU,BK,XC,MG,NI,YB,AZ,RO,AT,SQ,PG,HD,OD,LG,YU
2026-07-13,89.0,91.0,87.0,88.0,173000,0.0,0.001,-0.0,0.0007,0.0011,0.0008,-0.0023,-0.0002,0.0,0.0,0.0,0.0,-0.0009,0.0,-0.0006,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0001,0.0002,0.0011
2026-07-14,91.0,92.0,88.0,89.0,374000,-0.0032,0.0005,0.0006,-0.0001,-0.0059,0.0126,-0.0018,-0.0004,0.0,0.0,0.0,0.0,-0.0022,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027,0.0,0.0
2026-07-15,90.0,93.0,89.0,89.0,1450200,0.0049,0.0017,-0.0158,0.0006,-0.0697,-0.0247,-0.0007,-0.0,0.0,0.0,0.0,-0.0009,-0.0002,0.0,0.0018,0.0,0.0,-0.0,-0.0,-0.0022,-0.0002,0.1054,0.0,0.0,0.0
2026-07-16,90.0,92.0,89.0,91.0,322000,0.0005,0.0005,0.0,0.0063,0.0016,-0.0079,-0.0009,-0.0012,0.0,0.0003,0.0,-0.0003,-0.0004,0.0011,-0.0001,0.0005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,89.0,91.0,88.0,90.0,533000,-0.0036,0.0,0.0011,0.0044,0.0099,-0.0088,-0.0106,-0.0004,0.0028,0.0022,0.0045,-0.0012,-0.0018,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,89.0,90.0,87.0,90.0,393200,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,88.0,91.0,88.0,89.0,271400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,96.0,96.0,89.0,90.0,3231200,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,105.0,105.0,96.0,96.0,3657800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,98.0,109.0,98.0,105.0,589200,,,,,,,,,,,,,,,,,,,,,,,,,
