Date,Close,High,Low,Open,Volume,CP,XL,CC,DR,PD,IF,XA,YP,EP,AG,KK,AT,XC,SQ,OD,QA,BQ,FZ,NI,MU,YB,HP,LG,IC,RO,DH,MG,YJ,AO,TP,YU,AZ,BR,RB,GR,KI,ZP,DU
2026-07-13,50.0,50.0,50.0,50.0,341500,0.0,0.0088,0.0026,0.0002,0.0007,0.0,0.0,0.0006,0.0,0.0,0.0,-0.0001,0.0012,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,-0.0067
2026-07-14,50.0,50.0,50.0,50.0,631200,0.0,0.0149,0.005,0.0,0.0007,0.0,0.0,0.0014,0.0002,0.0,0.0,0.0,0.0056,0.0001,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,50.0,52.0,50.0,50.0,85514500,-0.0274,-0.1594,-0.2058,0.0148,-0.018,0.0,0.0006,-0.8635,-0.0109,0.0,0.0398,0.0011,-0.1932,0.0257,0.0469,-0.0173,-0.0164,0.0877,-0.3381,0.0,-0.0684,0.0,0.0,0.0,0.001,-0.0001,-0.0845,0.3,0.0099,0.0,-0.0049,-0.0293,1.5,0.0,0.005,0.0149,0.0005,0.0
2026-07-16,50.0,51.0,50.0,50.0,47697600,-0.0059,-0.2221,0.0075,0.0,0.0626,0.0001,-0.001,-0.1189,-0.0078,0.0,-0.007,-0.0006,-0.0302,-0.0219,0.0069,0.0,0.1062,-0.0593,-0.0205,0.2425,0.1953,0.0,0.0005,0.0,0.0,0.005,0.1483,-0.3,0.0,0.0026,0.0038,-0.0058,0.0196,-0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,51.0,50.0,50.0,6316800,-0.0052,0.0196,0.0319,0.005,0.0046,0.0,0.0,-0.0139,-0.017,0.001,0.0005,-0.0001,-0.0235,0.0093,-0.0019,-0.0,0.0,-0.0255,0.005,-0.0006,-0.0019,0.0,0.0001,0.015,0.0001,0.01,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,51.0,50.0,50.0,21668500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,51.0,53.0,50.0,50.0,83387400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,50.0,52.0,50.0,51.0,81797900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,53.0,66.0,50.0,50.0,1835118700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,51.0,58.0,50.0,54.0,600347300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
