Date,Close,High,Low,Open,Volume,NI,AT,XL,CC,PD,XC,AG,DR,YP,OD,BQ,EP,RO,SQ
2026-07-13,685.0,685.0,660.0,685.0,46900,0.0003,0.0,-0.0023,0.0074,0.0001,0.0002,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,-0.0134
2026-07-14,680.0,685.0,675.0,680.0,5800,0.0,0.0,0.0012,0.0,0.0001,-0.0015,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0
2026-07-15,690.0,695.0,640.0,680.0,25000,0.0001,-0.0003,0.0066,-0.0072,0.0,0.0015,0.0001,0.0,-0.0033,0.0013,-0.0001,0.0013,0.0,0.0
2026-07-16,685.0,685.0,665.0,685.0,16300,0.0001,0.0,-0.0103,0.0,0.0,0.0022,0.0,0.001,0.007,0.0,0.0,0.0,0.0,0.0
2026-07-17,685.0,685.0,660.0,685.0,8500,-0.0029,-0.0016,0.0022,0.0003,0.0026,0.0002,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,685.0,685.0,660.0,685.0,4700,,,,,,,,,,,,,,
2026-07-21,690.0,690.0,660.0,685.0,44500,,,,,,,,,,,,,,
2026-07-22,685.0,690.0,675.0,675.0,3400,,,,,,,,,,,,,,
2026-07-23,695.0,695.0,675.0,685.0,6500,,,,,,,,,,,,,,
2026-07-24,700.0,700.0,670.0,685.0,3800,,,,,,,,,,,,,,
