Date,Close,High,Low,Open,Volume,XC,YJ,TP,YB,NI,ZP,GR,OD,XL,YP,CC,PD,RO,XA,KK,BQ,CP,MG,MU,DR,DX,LS
2026-07-13,138.0,139.0,130.0,138.0,102600,-0.0001,0.0,0.0,0.0,0.0006,0.0001,0.0,0.0,-0.0051,0.0035,0.0005,0.0,0.0,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0003,0.0,0.0
2026-07-14,138.0,141.0,134.0,137.0,77000,0.0055,-0.0,0.0,0.0,-0.0007,-0.001,0.0,0.0,0.0003,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0034,0.0,0.0,-0.0008,0.0,0.0
2026-07-15,139.0,148.0,134.0,134.0,244800,-0.0079,0.0,0.0,0.0,-0.0,-0.0002,-0.0002,0.0,-0.0085,-0.0035,0.0,0.0002,0.0,-0.0001,0.0012,0.0001,-0.0018,-0.0012,0.0217,0.0,0.0,0.0
2026-07-16,139.0,144.0,137.0,144.0,72100,0.0001,0.0,0.0,0.0,-0.0,0.0002,0.0,0.0001,-0.0005,0.0,0.0001,0.0003,-0.0,-0.0002,0.0003,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,137.0,139.0,136.0,139.0,35900,0.0,0.0001,0.0,0.0,-0.0007,-0.0001,0.0001,0.0,-0.0027,0.0014,0.0016,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,140.0,140.0,133.0,135.0,62100,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,140.0,140.0,136.0,140.0,69800,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,138.0,142.0,137.0,140.0,165900,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,139.0,141.0,138.0,140.0,152200,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,139.0,142.0,136.0,138.0,149200,,,,,,,,,,,,,,,,,,,,,,
