Date,Close,High,Low,Open,Volume,XC,QA,SQ,RO,LG,AZ,XA,KK,CP,ZP,AT,KI,AG,EP,AI,XL,YP,DH,DX,AK,BK,OD,CC,ES,TP,YB,IF,NI,BQ,GR,HP,HD,PD,DR,YU,SH,FZ,MG,MU,AO,BR,FS,LS,RS,GI,RG,YJ,PC,IU
2026-07-13,120.0,120.0,110.0,113.0,38470000,0.0374,0.0,0.012,0.0014,0.0038,-0.0653,0.0216,-0.0053,0.0176,-0.0079,0.0003,-0.0015,0.0,-0.029,0.0,-0.3398,-0.0388,-0.0144,0.0,0.5728,0.1449,-0.1796,-0.0308,-0.0023,0.0073,-0.0018,-0.0,-0.1819,0.0183,0.0632,0.006,0.0,-0.1086,0.1202,-0.0155,0.0,-0.0008,0.009,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,-0.0051,-0.0013,-0.0073
2026-07-14,124.0,130.0,117.0,120.0,80069700,-0.0447,0.0019,0.0337,-0.0018,0.0027,0.0184,0.1019,-0.0049,-0.0459,0.3328,0.0,-0.0006,-0.0011,0.0044,0.0008,-0.1391,0.0471,-0.0338,0.0,0.3295,-0.2118,-0.0702,0.1659,-0.012,0.0021,-0.0102,-0.0203,-0.0023,-0.0181,0.1285,0.0023,0.0062,-0.3064,-0.1989,-0.0034,-0.0383,0.0,-0.01,-0.0036,0.0016,0.0,0.0,-0.0001,-0.0008,-0.0001,-0.0013,0.0,0.0,0.0
2026-07-15,123.0,127.0,122.0,126.0,19550100,0.0219,-0.0005,0.0428,0.0,0.0086,0.1273,-0.0305,0.0006,-0.0056,0.0159,-0.025,0.0,0.0006,0.0075,0.0246,-0.0485,0.0859,0.0065,0.0,-0.3455,-0.0852,0.2076,-0.207,0.0037,-0.0105,0.0013,0.0049,0.0552,0.0049,0.0537,0.027,0.0244,-0.0715,0.0794,-0.001,0.0185,0.0,0.0018,-0.0002,0.005,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,126.0,128.0,120.0,123.0,34165600,-0.1272,0.0004,0.043,-0.0001,0.0077,0.0478,-0.0014,-0.0736,0.1073,-0.3632,-0.0066,0.0062,-0.0,0.0179,0.0104,-0.6768,-0.1965,-0.0007,0.0,0.505,0.1931,-0.0011,0.7594,0.0018,0.0005,0.0763,-0.0088,-0.087,-0.0203,-0.0179,0.0,-0.0186,-0.0645,-0.1131,0.0012,0.0182,0.0,-0.0025,0.0126,-0.0015,-0.0284,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,126.0,128.0,123.0,128.0,25253400,0.0078,0.0013,-0.0013,-800.0,0.0027,0.0005,-0.1795,0.0252,-0.0144,0.0033,-0.0006,-0.0067,0.0057,0.0114,0.0062,0.5419,0.0347,0.0043,0.0001,-0.1217,-0.1261,-0.0108,-0.2756,0.0009,0.0103,0.0209,0.1197,-0.0025,-0.0005,-0.0841,-0.0212,-0.0001,0.0161,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,131.0,137.0,126.0,126.0,64388400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,142.0,142.0,131.0,131.0,81950900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,141.0,148.0,138.0,142.0,107414000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,140.0,148.0,139.0,141.0,67957800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,135.0,137.0,130.0,137.0,39027300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
