Date,Close,High,Low,Open,Volume,XC,QA,YB,NI,OD,EP,XL,YP,CC,PD,YU,KK,BQ,KI,CD,DH,DR,SQ
2026-07-13,96.0,99.0,91.0,99.0,66100,-0.0,0.0,0.0,0.0001,0.0,0.0,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,-0.0,-0.0035
2026-07-14,95.0,97.0,94.0,96.0,54400,-0.0,0.0,0.0,0.0012,0.0001,0.0,0.0012,-0.0003,0.0,-0.0,0.0,0.0,0.0,0.001,0.0007,-0.0026,-0.0013,0.0
2026-07-15,97.0,97.0,93.0,94.0,55500,-0.0006,0.0,-0.0,0.0025,0.0001,0.0,0.0003,-300.0,0.0,0.0,-0.0005,0.001,-0.0019,0.0,-0.0007,0.0,0.0,0.0
2026-07-16,106.0,106.0,96.0,97.0,217200,-0.0003,0.0,0.0055,-0.0001,-0.0025,0.0,-0.001,0.0038,-0.0001,0.0,-0.0014,0.0,-0.0018,-0.0021,0.0,0.0,0.0,0.0
2026-07-17,116.0,116.0,106.0,115.0,392600,0.0001,-0.0,-0.0058,-0.0,-0.0001,0.0006,0.001,-0.0016,-0.0002,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,127.0,127.0,116.0,120.0,526100,,,,,,,,,,,,,,,,,,
2026-07-21,119.0,139.0,115.0,129.0,2100200,,,,,,,,,,,,,,,,,,
2026-07-22,108.0,121.0,108.0,120.0,707700,,,,,,,,,,,,,,,,,,
2026-07-23,110.0,118.0,109.0,118.0,886000,,,,,,,,,,,,,,,,,,
2026-07-24,121.0,121.0,110.0,111.0,1134300,,,,,,,,,,,,,,,,,,
