Date,Close,High,Low,Open,Volume,XL,PD,YU,EP,XC,SQ,CP,MG,CD,DH,AZ,NI,LG,BQ,HP,KI,RO,AG,AI,QA,GR,YB,AT,EL,SA,YP,AK,CC,IF,OD,KK,DR,XA,ZP,IN,TP,GA,AO,FZ,YJ
2026-07-13,392.0,438.0,390.0,436.0,7538300,0.2217,-0.1195,0.0012,-0.0003,-0.0485,0.0217,-0.3721,0.0384,-0.0396,-0.1198,0.0244,-0.0328,-0.0058,0.0157,-0.0595,0.0021,-0.013,0.04,-0.0009,0.0,-0.0031,0.009,0.0,-0.0,0.0,-0.0288,0.0022,0.3513,0.0,0.0032,0.0139,-0.0783,0.012,0.0,0.0,0.0,0.0485,0.0119,0.0653,0.0392
2026-07-14,392.0,428.0,358.0,392.0,8186600,0.6242,-0.1909,0.0,0.002,-0.1712,0.0276,0.0625,-0.0101,0.0026,-0.2134,0.1797,-0.0307,0.0106,-0.0121,-0.1751,-0.0016,0.0025,-0.001,-0.0079,0.0,-0.0103,-0.0085,0.0,0.0,0.001,-0.016,0.0016,-0.0574,0.0482,-0.0005,0.0811,-0.2103,0.0166,0.0557,0.0007,0.0002,0.0,0.0,0.0,0.0
2026-07-15,372.0,412.0,368.0,400.0,7410900,0.1986,-0.2316,0.001,-0.002,-0.1896,-0.0246,0.2468,0.0177,0.0042,-0.2635,-0.0398,0.0394,0.0092,0.0086,-0.1358,-0.0004,0.0209,0.0005,0.0,0.0014,-0.0,600.0,0.0048,0.0,0.0019,0.1323,-0.0003,0.1144,0.0793,0.068,0.0002,-0.2635,0.2509,-0.0491,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,340.0,382.0,338.0,368.0,6406600,-0.1258,-0.1737,0.0024,0.001,-0.0715,0.1547,0.0419,0.0406,-0.0,-0.1715,-0.088,-0.0461,0.4571,0.0004,-0.0762,0.0063,-0.0176,0.0,-0.0001,-0.0037,0.005,-0.0037,-0.0023,0.011,-0.0027,0.0938,0.0003,0.204,0.0025,-0.0452,0.0106,-0.2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,340.0,340.0,340.0,340.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20,312.0,374.0,306.0,372.0,9785600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,342.0,342.0,308.0,314.0,19177300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,326.0,370.0,320.0,344.0,12008400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,318.0,332.0,310.0,318.0,9657700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,290.0,324.0,288.0,300.0,9856400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
