Date,Close,High,Low,Open,Volume,ZP,EP,NI,RO,CC,PD,BQ,YB,XL,MG,DR,GR,YP,AT,XC,KK,AK,CP,OD,SQ,YU,LG,AG,XA,KI
2026-07-13,122.0,124.0,119.0,121.0,114000,0.0015,0.0,0.0025,0.0,0.0005,0.0003,0.0,0.0,-0.0067,0.0026,0.0,0.0,0.0001,0.0,-0.0004,0.0001,-0.001,0.0,-0.0,0.0,0.0005,0.0,0.0,0.0,0.0
2026-07-14,120.0,122.0,119.0,122.0,11300,0.0008,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0,-0.0,0.0,-0.0001,-0.0004,0.0,0.0,-0.0004,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,124.0,137.0,122.0,123.0,2042900,-0.0037,0.0,-0.0024,0.0,0.0011,-0.0124,0.0048,0.0,-0.0107,-0.0015,0.0013,0.0017,0.0127,0.0,-0.0144,-0.003,-0.0,-0.001,0.0019,0.0073,0.0265,0.0,-0.0001,0.0,-0.0079
2026-07-16,126.0,141.0,124.0,124.0,2824200,-0.0013,0.0017,-0.0024,0.0001,-0.0132,0.0051,-0.005,0.0035,0.0546,-0.0007,-0.0017,0.0039,-0.0182,0.0,-0.0035,-0.0,0.0004,0.0015,-0.002,0.0045,-0.0275,-200.0,-0.0,0.0,0.0
2026-07-17,128.0,132.0,122.0,128.0,635000,0.0003,-0.0016,0.0,0.0003,0.0003,-0.0037,0.0009,0.0003,-0.0086,-0.0005,-0.0006,0.0009,0.0001,0.0,0.0093,0.0003,0.0015,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,127.0,135.0,125.0,128.0,68900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,128.0,129.0,126.0,127.0,42100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,127.0,136.0,127.0,130.0,514500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,127.0,133.0,126.0,127.0,96200,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,122.0,127.0,121.0,127.0,213200,,,,,,,,,,,,,,,,,,,,,,,,,
