Date,Close,High,Low,Open,Volume,EP,NI,RO,PD,BQ,YP,XC,CC,XL,AK,AT,OD,YB,MG,SQ
2026-07-13,256.0,274.0,238.0,256.0,1077000,-0.0007,0.0051,0.0,-0.0015,-0.0002,-0.0027,0.0073,-0.006,-0.0031,0.0001,-0.0001,0.0,-0.0005,0.0029,-0.0006
2026-07-14,248.0,258.0,246.0,256.0,273700,0.0,0.0,0.0,-0.0002,0.0,-0.0075,0.0074,0.0115,-0.0106,0.0,0.0,0.0,-0.0005,0.0,0.0
2026-07-15,252.0,258.0,246.0,258.0,142400,0.0,0.0,0.0,-0.0006,0.0,0.0001,0.0194,-0.0006,-0.0182,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,246.0,254.0,246.0,252.0,36700,0.0,-0.0046,0.0,-0.0006,0.0013,0.0,0.0063,-0.0002,-0.0024,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-17,246.0,256.0,240.0,246.0,87700,0.0007,-0.0004,0.0002,-0.0007,-0.0013,-0.0046,-0.0008,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,252.0,254.0,244.0,246.0,15800,,,,,,,,,,,,,,,
2026-07-21,250.0,256.0,246.0,248.0,25900,,,,,,,,,,,,,,,
2026-07-22,250.0,256.0,250.0,256.0,14000,,,,,,,,,,,,,,,
2026-07-23,250.0,252.0,250.0,250.0,10300,,,,,,,,,,,,,,,
2026-07-24,240.0,250.0,240.0,250.0,800,,,,,,,,,,,,,,,
