Date,Close,High,Low,Open,Volume,DR,YP,LG,CC,XL,XC,AI,OD,GR,PD,KK,RO,FZ,SQ,BQ
2026-07-13,4610.0,4710.0,4610.0,4710.0,300,-0.0005,0.0,0.0,0.0005,0.0,0.0,-0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,4700.0,4710.0,4700.0,4710.0,2100,-0.0005,-0.0094,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,4710.0,4710.0,4570.0,4570.0,5700,-0.0024,-0.0188,0.0118,-0.0038,0.014,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,4710.0,4710.0,4710.0,4710.0,1000,0.0,0.0,0.0,0.0047,-0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4720.0,4720.0,4500.0,4700.0,6900,-0.0014,-0.0094,0.0282,0.0014,-0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4700.0,4730.0,4530.0,4720.0,3100,-0.0009,-0.0099,0.0,0.0005,0.0052,0.0042,0.0,-0.0005,0.0009,0.0,0.0,0.0005,0.0,0.0,0.0
2026-07-21,4700.0,4730.0,4620.0,4700.0,1000,-0.0005,-0.0005,0.0,0.0009,-0.0019,0.0005,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0005
2026-07-22,4700.0,4700.0,4630.0,4700.0,2300,0.0,-0.0052,0.0038,-0.0005,0.0009,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0
2026-07-23,4690.0,4700.0,4610.0,4700.0,900,0.0,0.0,0.0,-0.0009,0.0028,-0.0009,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,4690.0,4730.0,4690.0,4730.0,2000,-0.0009,-0.0028,0.0005,-0.0005,0.0033,-0.0028,0.0,0.0009,0.0005,0.0005,0.0005,0.0005,0.0005,0.0,0.0
