Date,Close,High,Low,Open,Volume,QA,XC,SQ,XA,IF,NI,OD,XL,YP,CC,PD,KK,DH,YU,AT,AG,HP,CD,AZ,GR,DR
2026-07-13,408.0,408.0,404.0,408.0,80200,0.0,0.0003,0.0,0.0,0.0,0.0,0.0196,-0.0054,0.0,-0.0164,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0041,0.0001
2026-07-14,410.0,410.0,404.0,408.0,35200,0.0,0.0002,0.0021,0.0001,0.0001,-0.0013,0.0011,-0.0021,-0.0044,0.0043,0.0,-0.0003,0.0,0.0,-0.0,0.0,0.0,0.0001,0.0001,0.0,0.0
2026-07-15,412.0,412.0,408.0,412.0,31600,0.0,-0.0031,0.0,0.0,0.0,0.0001,0.0004,0.0041,-0.0009,0.0016,0.0002,0.0,0.0,-0.0026,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,412.0,412.0,408.0,412.0,44200,0.0,-0.0025,-0.0041,0.0,0.0,0.0012,0.0007,0.0001,-0.0008,0.0051,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,420.0,422.0,412.0,412.0,143300,800.0,-0.0005,-0.0,-0.0001,0.0011,-0.0013,0.0178,-0.0211,-0.0,-0.0008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,420.0,422.0,406.0,422.0,85600,,,,,,,,,,,,,,,,,,,,,
2026-07-21,420.0,422.0,418.0,420.0,67200,,,,,,,,,,,,,,,,,,,,,
2026-07-22,422.0,422.0,418.0,420.0,40800,,,,,,,,,,,,,,,,,,,,,
2026-07-23,422.0,426.0,418.0,422.0,98500,,,,,,,,,,,,,,,,,,,,,
2026-07-24,418.0,422.0,414.0,422.0,118000,,,,,,,,,,,,,,,,,,,,,
