Date,Close,High,Low,Open,Volume,AD,NI,RO,XA,IN,DU,OD,YB,SQ,YP,YU,XC,LG,KK,XL,YJ,ZP,EL,AT,EP,SF,PD,BQ,AZ,MG,PC,BR,AR,GR,CC,IH,CP,ZR,PF,FZ,HD,PI,PG,DH,DR,DX,AO,HP,FS,IU,TF,AG,KI,MI
2026-07-13,140.0,143.0,139.0,141.0,591300,0.0,0.0003,0.0,0.0,0.0028,0.0,0.0,-0.0,-0.0036,-0.0113,0.0,-0.0002,0.0,0.0,-0.0177,0.0,-0.0001,0.0197,-100.0,0.0,0.0,-0.0,-0.0014,0.0,0.0,0.0,0.0035,-0.0045,0.0,-0.0126,0.0,0.0,-0.0085,0.0,0.0,0.0474,-0.004,-0.009,0.0,0.0007,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,140.0,142.0,140.0,140.0,594300,0.0071,0.0,0.0,-0.0001,0.0076,0.0,0.0,-0.0071,-0.0334,0.0004,0.0011,-0.0007,0.0,0.0011,0.0094,0.0004,0.0,0.0071,0.0,0.0,0.0,0.0007,-0.0006,0.0169,0.0,0.0,0.0063,-0.0071,0.0,0.0,-0.0055,0.0,-0.0071,0.0,-0.0056,0.0219,0.0,-0.0063,-0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,143.0,143.0,140.0,140.0,818700,0.0261,0.0,0.0,-0.0321,0.0078,0.0019,-0.0071,0.0,0.0,0.0011,0.0,0.0011,0.0,-0.0,-0.0149,0.0,0.0,0.0,-0.0,0.0,0.0,0.015,0.0014,-0.0233,0.005,0.0,0.0,-0.0071,0.0,0.0,0.0,-0.0002,-0.0071,0.0,-0.0063,0.0443,-0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,145.0,146.0,143.0,143.0,846600,0.0157,0.0053,0.0,-0.0197,0.0,0.018,-0.0033,0.0,0.0005,0.0001,0.0,-0.0017,0.0,-0.002,-0.0014,0.0,0.0,0.0141,0.0,0.0,0.0,-0.0001,0.0003,0.0135,0.0022,0.0,0.0245,0.0,0.0,-0.0011,0.0,-0.0085,-0.012,-0.0093,-0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,150.0,154.0,144.0,145.0,1818400,0.011,0.0073,0.0,-0.0165,0.0197,0.001,-0.004,0.009,0.0033,0.0351,-0.0011,0.0022,0.0,-0.0025,-0.0257,-0.0011,0.0001,0.0087,-0.0167,0.0014,-0.0147,-0.0131,0.0054,-0.0185,0.0761,-0.011,0.0,-0.0147,-0.0001,0.007,-0.0262,-0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,145.0,153.0,141.0,142.0,5568000,0.0,-0.0851,200.0,0.0289,-0.0594,0.0159,0.0039,-0.0007,0.0108,0.0126,0.0,0.0107,0.0031,0.0005,0.0439,0.0008,0.0,0.0145,0.0003,-0.0011,0.0,0.0356,0.001,0.0065,0.0125,0.0,0.0,0.035,0.0,-0.0961,0.0,0.0531,0.0,-0.0195,0.0,0.0,-0.0312,0.0,0.0001,0.0016,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
2026-07-21,147.0,148.0,145.0,146.0,1235700,0.0,0.0,0.0,-0.0001,0.0146,0.0,0.0,0.0117,0.0079,0.0047,0.0,0.004,0.0,-0.0293,-0.0198,0.0,0.0,-0.0327,0.0,-0.0015,0.0293,-0.0028,0.0,0.0008,0.0325,0.0,0.0,0.0274,0.0,0.012,-0.0073,-0.0001,0.0,0.0,0.0,0.0,-0.0204,-0.0293,-0.0,-0.0016,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2026-07-22,161.0,161.0,147.0,147.0,3916700,0.0,-0.0638,0.0,-0.032,0.0573,0.0,0.0067,0.0066,-0.0256,-0.0223,0.0,-0.0225,-0.0016,-0.0153,-0.0208,0.2066,-0.0002,0.0255,-0.0004,0.0003,0.0317,-0.0172,-0.005,-0.0398,0.0154,-0.0323,0.0,0.0,-0.0001,-0.0336,-0.0242,0.0431,0.0,0.0,0.0,0.0,0.0,-0.0387,0.0003,-0.0029,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,163.0,165.0,160.0,162.0,3907300,0.0155,-0.0012,0.0,-100.0,-0.0233,-0.0248,-0.0077,0.0163,-0.0179,0.0098,0.0,-0.008,-0.0013,0.0081,-0.0377,0.001,0.0,0.018,0.0723,-0.0002,0.0195,-0.0374,0.0053,0.0203,0.0002,-0.0573,0.0247,0.0173,-0.0,0.1397,0.0,-0.0088,0.0659,0.0,0.0,0.0,0.0,-0.0304,-0.0005,0.0,0.0,0.0,-0.0043,-0.0808,0.0,0.0,-0.0001,-0.0925,0.0
2026-07-24,165.0,166.0,160.0,165.0,5056200,0.0,-0.0069,-0.0173,-0.0193,0.0509,0.0216,0.0144,-0.0762,0.0,-0.0054,0.0,-0.0085,-0.0002,0.0073,-0.2082,0.1008,-0.0002,0.0247,0.0356,-0.0001,-0.0049,-0.0247,-0.004,0.0121,0.0152,-0.0218,-0.013,0.0196,-0.0082,0.105,-0.0053,0.0658,0.0335,-0.0082,0.0,0.0,0.0,0.0,0.0086,0.0164,0.0,-0.0097,-0.0007,-0.0814,-0.0087,0.0013,0.0,0.0,0.0
