Date,Close,High,Low,Open,Volume,EP,YP,XA,RO,SQ,XC,AT,PD,XL,CC,OD,BQ,KK,NI,GR,AZ,CP
2026-07-13,242.0,242.0,238.0,242.0,5400,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0011,0.0002,0.0001,0.0,0.0,0.0003,0.0001,0.0,0.0
2026-07-14,242.0,246.0,242.0,246.0,8800,-0.0002,0.0001,0.0,0.0,0.0,0.0001,-0.0001,0.0,0.0004,-0.0001,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0
2026-07-15,242.0,246.0,240.0,242.0,5700,0.0002,0.0,0.0,0.0,0.0,0.0001,-0.0002,0.0,-0.0004,0.0004,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,242.0,242.0,238.0,242.0,30200,0.0001,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0004,-0.001,0.0032,-0.0023,-0.0001,0.0001,0.0,0.0,0.0,0.0
2026-07-17,244.0,246.0,242.0,244.0,18000,-0.0003,0.0012,0.0,0.0,0.0,-0.0005,0.0001,0.0,0.0001,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,246.0,246.0,242.0,244.0,18300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-0.0002,-0.0,0.0,0.0,0.0,0.0012,0.0,0.0,-0.0004
2026-07-21,246.0,248.0,238.0,238.0,56300,0.0002,0.0001,0.0,0.0,-0.0,-0.0005,0.0,0.0014,0.0047,0.0036,0.0001,0.0,0.0,0.0,-0.0096,0.0,0.0
2026-07-22,246.0,246.0,240.0,246.0,14100,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0009,0.0001,200.0,0.0,0.0,0.0002,0.0,0.0,0.0
2026-07-23,246.0,248.0,240.0,246.0,13600,-0.0001,0.0,-400.0,0.0,0.0,0.0,-0.0,-0.0007,0.0013,-0.0007,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-24,240.0,246.0,240.0,242.0,1600,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
