Date,Close,High,Low,Open,Volume,SQ,XC,IN,HP,XL,PD,CC,KK,DR,FZ,YP,DH,AK
2026-07-13,2240.0,2280.0,2240.0,2240.0,13300,-0.0022,-0.0004,-0.0024,0.0,-0.0056,0.012,-0.0002,0.0,-0.0016,0.0,0.0,0.0,0.0005
2026-07-14,2240.0,2270.0,2240.0,2270.0,8200,0.0023,-0.0002,0.0071,0.0,-0.0063,0.0,0.0,0.0,0.0023,0.0045,-0.0007,-0.009,0.0
2026-07-15,2270.0,2270.0,2240.0,2240.0,12600,0.0,0.0059,0.0154,0.0,-0.0146,0.0,0.0,0.0,-0.0067,0.0,0.0,0.0,0.0
2026-07-16,2260.0,2260.0,2240.0,2240.0,11100,0.0034,0.0,0.0211,-0.0076,0.0002,0.0,-0.0038,-0.0132,0.0,0.0,0.0,0.0,0.0
2026-07-17,2250.0,2260.0,2240.0,2260.0,20300,0.0113,-0.0047,0.0096,0.0248,-0.0027,-0.0119,-0.0061,-0.0203,0.0,0.0,0.0,0.0,0.0
2026-07-20,2260.0,2270.0,2260.0,2260.0,2300,,,,,,,,,,,,,
2026-07-21,2270.0,2270.0,2240.0,2270.0,9700,,,,,,,,,,,,,
2026-07-22,2290.0,2320.0,2280.0,2320.0,11500,,,,,,,,,,,,,
2026-07-23,2410.0,2450.0,2300.0,2320.0,66700,,,,,,,,,,,,,
2026-07-24,2420.0,2480.0,2350.0,2440.0,5600,,,,,,,,,,,,,
