Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,YU,LG,AZ,XA,SA,AT,AK,EP,RB,YP,DH,CC,YB,NI,BQ,TF,HD,QA,SQ,YJ,KK,LS,CP,ZP,KI,BB,AI,OD,XL,AG,DX,MG,TP,AR,IF,PG,MU,AO,GR,FS,HP,PD,DR,ES,RG,IN,RO,YO,BK,FZ
2026-07-13,82.0,83.0,81.0,83.0,5987800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0183,-0.0001,0.0,-0.0901,-0.005,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0362,0.0582,-0.0,0.0015,-0.0009,0.0,0.0002,-0.0,-0.0013,0.0246,0.0,0.0,0.0023,0.0,0.0,0.0,0.0984,-0.0104,0.0333,-0.0,0.0012,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,-0.0052,-0.0012,-0.0472,-0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,82.0,84.0,82.0,84.0,6163500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.1211,-0.1192,0.0001,0.0084,0.0029,0.0,-0.0016,0.0,-0.0,0.0,0.0352,0.042,-0.0015,0.0013,0.0005,-0.0004,0.0,0.0002,0.0,-0.0003,0.0,0.0971,0.0002,0.006,-0.0123,0.0,0.0,0.0,-0.0279,-0.0562,-0.0007,-0.0073,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0521,0.0009,0.0415,0.0162,0.0462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,82.0,84.0,81.0,82.0,14599600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0985,0.0,-0.0015,0.0413,0.0026,0.0,0.0002,0.0,0.0413,0.0,0.0154,-0.011,0.2585,-0.0031,0.0121,-0.1015,0.0,-0.0004,0.0,-0.0032,0.0,0.0958,0.0017,0.0203,0.0176,0.0001,0.0,0.0001,-0.0084,-0.0469,0.0008,0.0,-0.0168,-0.0001,0.0,0.0,0.0,0.0,-0.0008,0.0,0.0003,-0.0084,-0.2086,0.0016,0.0,0.0,0.0,0.0,-0.0005,0.0001,0.0
2026-07-16,91.0,94.0,82.0,83.0,147603300,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0669,-0.6399,-0.0015,-0.0776,0.0147,-0.0034,0.0106,-0.0273,-0.124,0.0,0.2592,-0.0129,0.041,0.0269,-0.0306,0.0527,0.0,-0.0005,0.0013,0.1888,-0.041,-0.0552,0.0092,-0.3826,-0.0926,0.0707,0.0,-0.0057,0.1246,0.7327,-0.0382,-0.0088,-0.0319,-0.0359,-0.0012,-0.0137,0.072,0.0006,-0.0087,-0.0144,-0.0008,-0.0877,0.0586,0.0015,-0.0006,0.0054,0.0001,0.0002,0.0,0.0,0.0
2026-07-17,90.0,95.0,89.0,91.0,75039000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0795,-0.3418,0.0405,0.1662,0.0136,-0.0004,-0.0015,-0.0002,0.0143,0.0022,-0.0195,-0.0333,-0.411,0.0096,0.0088,-0.0177,-0.0009,0.0342,-0.0001,0.1026,0.0899,0.0044,-0.0004,-0.2136,0.1021,0.0251,-0.107,0.0184,-0.0685,0.3555,-0.0171,-0.0077,-0.0033,0.0184,0.047,0.0055,0.091,-0.0001,0.0108,0.0415,0.0073,0.0925,0.0024,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,88.0,91.0,88.0,90.0,19828500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,94.0,98.0,89.0,89.0,139723400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,98.0,104.0,93.0,96.0,194810400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,100.0,109.0,99.0,99.0,329345600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,94.0,100.0,94.0,100.0,56849000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
