Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,SH,DR,SQ,YP,ES,XC,LG,KK,KZ,XL,AI,DH,FZ,IF,AZ,MG,LS,CP,BK,YU,AK,ZP,TP,PD,BQ,BB,AG,KI,AR,GR,RX,HD,DX,PG,QA,SS,JB,RO,OK,EP,PP,DP,PO,IH,YO,HP,BS,AD,GI,RB,TF,CD,AH,YJ,FS,MU,RF,SA,PC,IT,AO,BR,MI,RS,SF,AT,AF,PF,DD
2026-07-13,6225.0,6250.0,6075.0,6150.0,180061600,16.1,5.6,98.1,-0.588,2.6,-0.1164,6.1,8.9,42.8,0.0,-4.1,41.8,-0.4988,2.8,24.3,3.0,3.4,-0.0232,-1.1,60.6,56.5,-1.7,18.8,-510.7,62.8,-144.6,-34.1,0.0,25.2,20.3,19.0,-0.9412,6.9,-0.0012,3.9,-0.205,-0.5285,155.8,0.0,-0.0032,0.0,-0.0244,0.0,-0.0008,-0.6751,0.0,0.0,0.0,-0.0441,0.0,-1.2,-0.1417,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-0.1208,3.7,7.1,-0.0082,-0.0056,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,6125.0,6250.0,6075.0,6225.0,159868800,11.0,2.5,5.7,7.9,-0.5769,0.0,4.0,36.7,4.6,0.0,15.7,-47.9,5.5,31.0,60.5,-1.7,4.7,0.0,-1.3,3.8,-21.2,0.0,2.1,-300.8,94.7,-112.8,-44.4,9.5,41.9,1.9,7.7,-0.0748,-2.9,0.0,8.2,1.5,-0.4029,151.6,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,-0.0369,-0.8957,-10.0,2.6,-0.1848,-3.6,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,6125.0,6200.0,6075.0,6125.0,140824900,-2.8,2.8,-29.1,-3.1,0.742,0.0,5.5,15.7,18.2,0.0,4.9,13.4,0.7343,179.7,16.9,-2.4,3.3,0.0,-2.4,-4.1,-4.4,0.0,2.4,-316.6,10.5,-93.3,-13.6,16.9,5.1,1.4,-0.5527,0.0,0.5917,0.0,6.1,7.4,0.571,153.7,0.0,0.0,0.0,6.7,0.5803,0.0,0.4274,0.0,0.0,0.0,-0.0522,-0.0062,-2.9,-0.6564,-0.0049,-0.0006,-0.2842,-0.0031,0.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,6225.0,6225.0,6100.0,6125.0,94235100,-7.4,-2.6,-31.4,-6.4,0.0,0.0,-0.4274,-11.7,-30.2,-1.2,-17.3,2.3,-2.6,96.6,-33.9,-2.6,-3.7,0.0,0.3919,-12.1,-9.6,0.2149,-7.9,-21.3,2.7,-60.1,8.2,-9.4,-1.7,-6.5,14.0,6.6,-0.5032,0.0,1.8,0.0,0.0,151.8,-0.9263,0.0105,0.0062,0.013,-0.6423,0.3369,-0.8547,0.1201,0.1235,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,6475.0,6500.0,6200.0,6225.0,314564200,-38.1,-9.5,-34.4,-23.7,-2.7,0.8909,-10.4,-93.6,-27.4,-2.2,-64.4,10.0,-10.6,111.8,-148.0,-53.5,-17.4,-3.6,24.0,10.2,-5.1,-4.5,-17.9,125.1,-25.6,-11.8,110.5,59.1,-35.2,-18.4,48.4,-2.5,-5.3,0.4969,-10.0,16.6,3.6,177.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6475.0,6625.0,6475.0,6525.0,298183300,1.1,0.0,20.1,2.4,1.4,0.0,3.1,-3.1,-77.3,0.0,16.4,-14.4,5.4,3.1,20.5,9.0,2.1,-0.676,16.1,-9.9,9.6,-0.7409,0.9094,-702.9,-60.1,173.6,415.8,-0.5476,4.2,-4.2,-19.6,4.3,1.1,-0.286,2.7,-1.7,-0.9374,182.2,-0.165,0.0,0.0,0.0,0.4542,0.0,-0.451,0.0,0.6776,0.0,0.0,0.0,0.0,-0.0823,0.0,0.0,0.0,0.0,2.7,-0.7584,-2.2,0.0,-0.0768,0.0,0.6388,0.0,-0.0325,0.0,-0.5721,0.0,0.0,0.0,0.0,-0.4167,-0.0655,-0.0262
2026-07-21,6525.0,6550.0,6425.0,6550.0,146064700,-18.3,10.8,-15.5,8.3,0.2185,0.0,0.8706,-24.2,-18.6,0.1877,5.6,43.5,-0.2184,-4.2,7.5,0.4408,0.3897,-1.3,-3.9,-9.2,-14.9,-9.7,1.2,56.8,-103.0,11.2,-127.3,-5.1,-0.2449,-0.2205,-6.9,5.6,0.9998,1.3,4.1,13.0,0.3302,181.7,-0.3905,-0.2091,-0.4861,0.0,0.9119,0.0,1.8,0.0,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2278,-0.2049,0.0,0.2367,0.0,0.0,10.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3201,-0.5051,0.0,0.0
2026-07-22,6500.0,6550.0,6400.0,6525.0,112178900,4.9,3.5,65.7,6.4,-0.4648,-5.7,0.4025,-0.6332,-0.5501,1.4,3.6,-4.1,1.2,10.5,-2.0,-16.0,1.0,0.0,-2.6,-24.4,-1.6,0.2425,0.0,-194.5,-36.0,-68.7,64.4,-21.1,1.6,0.2677,14.9,-0.4196,0.0,-0.0206,3.5,4.0,1.6,181.9,0.6009,0.0,0.3215,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,-1.1,-0.2329,0.0,0.0,0.0,0.0,-0.9853,0.0,2.0,-0.0078,-0.0111,0.3783,0.0,0.0,-0.0129,-2.3,0.6469,0.0,0.0,-0.1793,-0.0493,0.0,0.0,0.0
2026-07-23,6275.0,6475.0,6250.0,6450.0,207037900,5.1,6.0,-281.5,14.9,0.0,0.0,6.2,69.2,72.1,-0.4952,33.1,12.3,11.0,0.0,65.5,0.0,8.2,0.0,2.3,-64.0,5.4,3.2,13.2,45.6,-25.2,-61.2,-59.7,9.7,32.5,8.2,5.2,0.0,0.0,0.0,23.3,-163.2,-2.2,178.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.733,0.0,-3.2,0.0,0.0,0.0,0.0,-0.9542,0.0,0.0,0.0,-0.0317,0.0,0.0,5.8,0.0,0.0,6.6,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,6275.0,6300.0,6125.0,6200.0,191428900,8.3,0.2089,-98.4,-0.6599,0.2874,0.0,-0.7297,8.7,-30.8,0.0,2.0,-10.8,3.2,-29.1,14.5,-2.6,0.1484,0.0,-85.4,5.4,-4.3,-0.3242,-3.3,95.7,-30.3,31.9,-26.2,-5.1,-3.8,-0.7819,-84.9,-7.2,-0.1368,0.3797,-9.3,118.4,-1.7,176.0,1.7,0.0,0.1081,0.0,1.1,0.0,0.0,0.0,0.0,-0.1221,0.9637,0.0,0.0893,0.0,0.0,0.0,0.0,0.0,0.1004,0.0,-5.9,0.0,0.0,-28.7,0.6508,0.37,0.0,0.2279,-0.4984,0.0916,0.093,0.0,0.0,0.0,0.0,0.0
