Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,YU,LG,XA,AZ,KZ,AT,AK,EP,YP,DH,CC,YB,NI,BQ,HD,QA,SQ,RO,YJ,KK,LS,CP,ZP,BB,AG,BK,SS,KI,OD,AI,XL,SH,FZ,TP,RF,RX,IF,AO,GR,FS,HP,PD,DR,MI,RB,PP,DX,RG,CD,PC,ES,RS,MG
2026-07-13,6625.0,6675.0,6575.0,6650.0,1627400,Barang-Konsumen-Primer,Makanan-Minuman,0.1315,-1.9,0.0502,0.0007,-0.0094,1.9,-0.1412,-0.4459,0.0127,0.4061,0.0132,-0.366,0.0086,0.0955,0.0198,0.0001,0.0026,-1.0,-0.0173,0.0,-0.0792,1.3,0.336,-0.2919,-0.7102,-0.0033,0.4016,0.0,0.0046,-0.1436,0.0,0.6311,0.0,0.0,-0.5591,0.0,0.0,0.0,0.0,0.0449,-0.0106,0.066,0.268,0.0039,0.0086,0.0,0.0,-0.1897,0.0,0.0007,0.0,0.132,0.0,0.0
2026-07-14,6650.0,6675.0,6575.0,6625.0,2030800,Barang-Konsumen-Primer,Makanan-Minuman,-0.0122,0.1066,0.031,0.0152,0.2852,-0.8299,0.1531,-0.2924,0.6706,0.7985,-0.1871,3.5,0.1531,0.1557,0.006,-0.0,0.0,-2.9,0.006,0.0,-1.0,0.0,-0.268,-1.4,-0.1911,-0.5666,0.149,0.0,0.006,0.0483,0.0166,1.2,0.0,0.0,-0.5505,0.0,-0.2793,0.0139,0.0,0.1816,0.0,0.0,-0.3687,0.7308,0.002,0.0,0.0,0.1751,-0.0001,0.0,0.0,0.0,0.4638,0.0033
2026-07-15,6600.0,6650.0,6600.0,6650.0,1502200,Barang-Konsumen-Primer,Makanan-Minuman,0.278,0.0417,-0.0158,0.0,0.161,0.0119,0.0647,-0.3729,0.0187,-0.1795,0.0971,3.8,0.064,0.2502,0.0027,0.0,0.0,-2.5,-0.0013,0.002,0.195,0.0397,0.0673,-0.1246,0.0,-0.0013,-0.4064,0.0,-0.1856,-0.1103,0.0,0.7135,0.0,0.0033,-0.6384,0.0,-1.5,-0.0818,0.0,0.094,-0.0224,0.0066,0.3005,-0.1863,0.0,0.0,0.0,0.002,0.0,0.0,0.0331,0.0073,0.0,0.0
2026-07-16,6700.0,6700.0,6600.0,6625.0,1186500,Barang-Konsumen-Primer,Makanan-Minuman,-0.1863,-0.4973,-0.0474,-0.0026,0.0788,0.115,-0.0007,1.0,-0.7314,-0.3464,-0.0066,1.0,0.0087,-0.0734,0.3126,0.0186,-0.0027,-1.6,-0.0113,0.0,-0.0987,-0.0007,0.0,0.9027,0.2224,-0.0134,0.4573,0.0,0.0027,-0.0413,0.0,-0.1275,0.0,0.0,-0.2224,0.0,0.0,0.0,0.0,-0.0295,0.0,0.006,-0.1426,-0.0124,0.002,0.0033,0.0469,-0.0683,-0.0002,-0.0013,0.0,0.0,0.0,0.0
2026-07-17,6850.0,6850.0,6625.0,6775.0,3779700,Barang-Konsumen-Primer,Makanan-Minuman,-0.3429,0.3084,-0.1184,0.0054,-0.3451,-0.0629,0.0352,-3.7,-0.0124,-2.0,0.0216,4.9,-0.1708,0.7823,-0.0512,-0.018,0.0034,-3.9,0.0148,-0.0007,0.5189,0.0081,-0.0264,0.1553,5.5,0.0381,0.9675,0.1336,-0.0651,-0.712,-0.3014,-0.7263,-0.0135,-0.0171,-0.4924,0.1024,-0.2119,-0.1857,0.0007,0.0422,-0.0073,0.0362,0.011,-0.1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6900.0,6950.0,6850.0,6850.0,3538400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,7000.0,7025.0,6850.0,6950.0,3888200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,7075.0,7100.0,6975.0,7000.0,4595100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,7125.0,7125.0,7025.0,7075.0,5277300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,6975.0,7100.0,6900.0,7100.0,3966600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
