Date,Close,High,Low,Open,Volume,QA,SQ,TP,XC,HD,XA,KK,NI,CP,CC,OD,DX,PD,XL,YP,CD,RO,DR,BQ,PC,AT,GR,AZ,EP,MG,YB,HP,II
2026-07-13,318.0,320.0,310.0,320.0,596700,0.0001,0.0,0.0,0.0014,0.0,0.0002,0.0025,0.0,0.0,-0.0926,0.0,0.0776,-0.001,0.0039,0.0004,0.0,0.0001,-0.0009,-0.0003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0087,0.0,-0.0001
2026-07-14,324.0,324.0,314.0,314.0,255700,-0.0001,0.0,0.0,-0.002,0.0,-0.0008,-0.0003,-0.0016,0.0,0.0165,-0.0006,0.0395,-0.0014,-0.0226,-0.0033,0.0,0.0,-0.0164,0.0,0.0,0.0,-0.0068,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,324.0,326.0,320.0,324.0,550200,-0.0008,0.0,0.0,0.0004,0.0,0.0,0.0013,-0.0018,-0.1281,0.064,-0.0002,0.0648,0.0,0.0008,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,322.0,326.0,322.0,326.0,203200,0.01,0.0,0.0,-0.0134,0.0,0.0,0.0015,0.0,0.0,0.0073,0.0,0.023,0.0032,-0.0044,-0.0103,0.0,0.0,0.0,-0.0002,-0.0161,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,318.0,326.0,318.0,324.0,823300,0.0006,0.0015,0.0002,-0.0032,-0.0001,0.0002,0.0011,0.001,-0.0003,-0.1619,0.0003,0.1439,0.0,0.0125,0.0005,-0.0,0.0016,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,320.0,326.0,318.0,320.0,832800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,322.0,324.0,318.0,322.0,945600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,320.0,326.0,320.0,322.0,379800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,322.0,326.0,320.0,322.0,713000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,324.0,326.0,320.0,324.0,432400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
