Date,Close,High,Low,Open,Volume,XC,MG,RO,SQ,TP,XA,BF,KK,BQ,CP,XL,YP,DH,CC,PD,LG,NI,KI,OD,YJ,DR,AT
2026-07-13,106.0,107.0,105.0,107.0,75900,0.0002,0.0,0.0,-0.0,0.0,0.0,0.0,0.0008,0.0,0.0,-0.0068,0.0044,0.0,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0011
2026-07-14,107.0,107.0,105.0,106.0,233700,-0.0003,0.0,0.0,-0.0019,0.0,0.0,0.0,-0.0006,0.0,0.0059,-0.0048,-0.0037,0.0,0.0007,0.0004,0.0,0.0036,0.0,0.0,-0.0003,0.0009,0.0
2026-07-15,107.0,107.0,105.0,106.0,50200,0.0002,0.0001,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0003,0.0,0.0001,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0
2026-07-16,106.0,107.0,105.0,106.0,236100,-0.0003,0.0021,0.0,-0.0022,0.0,0.0001,0.0,0.0062,0.0,0.0014,-0.013,0.0074,0.0002,-0.0036,0.0015,0.0003,-0.0,0.0,-0.0001,0.0,0.0,0.0
2026-07-17,106.0,108.0,105.0,106.0,421900,0.0058,0.0033,0.0,-0.0048,-0.0001,0.0,0.0138,0.0032,-0.0013,0.0011,-0.0103,0.0035,0.0002,-0.0151,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,107.0,108.0,106.0,106.0,51000,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,105.0,107.0,105.0,107.0,269900,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,106.0,114.0,102.0,106.0,2602400,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,105.0,108.0,104.0,108.0,729800,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,105.0,109.0,104.0,105.0,919700,,,,,,,,,,,,,,,,,,,,,,
