Date,Close,High,Low,Open,Volume,XC,YU,YJ,QA,LG,SQ,AZ,XA,KK,CP,PC,ZP,AT,KI,AK,AI,BK,XL,OD,DX,YP,CC,GI,EP,MG,ES,TP,YB,BQ,IF,NI,GR,PD,HP,RO,DR,DH,HD,PO,LS,AG,FZ,PG,FS,BB,RG,JB,BR
2026-07-13,202.0,204.0,200.0,204.0,28290900,0.0041,0.0,0.101,0.0,0.0042,0.0048,0.0,0.0,0.0564,0.0,0.0,0.05,-0.0006,0.0,-0.0032,0.0,-0.0505,0.1383,0.0001,0.0,0.0023,-0.2134,0.0,0.0066,0.0071,0.0,0.0,-0.1643,-0.002,0.008,-0.0202,0.0382,0.0653,0.0606,-0.0001,0.0672,0.0076,0.0027,0.0,0.0,0.0004,0.0,0.0,0.0009,-0.1717,0.0,0.0,0.0
2026-07-14,206.0,206.0,202.0,204.0,39867300,0.0635,0.0001,-0.102,0.0,0.0996,-0.7931,-0.0002,-0.001,0.0368,0.1198,0.0,0.0496,0.0,0.0,0.2313,0.0,0.108,-0.1588,0.0029,0.0,-0.0261,-0.0804,0.0,0.0299,-0.0051,0.0,0.0,0.3496,0.1842,0.0,0.0253,-0.0024,-0.0742,-0.0615,0.0,-0.0008,-0.0176,-0.0028,-0.0002,-0.0005,0.0061,0.0,0.0,0.0,0.0,0.0204,-0.0001,0.0001
2026-07-15,204.0,206.0,204.0,206.0,38176300,-0.0145,0.0,0.0,0.0,-0.0102,-0.3106,0.0016,0.0,0.1199,0.0,0.0,0.272,-0.0006,0.0,-0.1356,0.0,0.1091,0.1463,0.0034,0.0,-0.0115,-0.2485,0.0,0.0001,0.0029,0.0,0.0134,-0.0145,-0.0198,-0.004,0.0641,0.0154,0.0697,-0.0061,0.0,-0.0011,0.0004,0.0033,0.0,0.0385,-0.0,0.0,0.0,0.0001,-0.0832,0.0,0.0,0.0
2026-07-16,212.0,212.0,202.0,204.0,42447300,-0.0428,0.0268,0.0003,0.0,-0.0001,-0.5823,0.0018,0.0,-0.0964,0.1466,0.0,0.0051,-0.0031,0.0019,-0.2989,0.0031,0.0621,-0.1969,0.0006,0.0,-0.1476,0.5799,0.0,0.0471,-0.0371,-0.0013,-0.0015,-0.2426,0.0326,0.0,0.0882,-0.0151,0.2296,0.0015,-0.0012,0.2986,-0.0205,-0.0034,-0.0002,-0.0413,-0.0001,-0.0011,0.208,-0.0004,0.0,0.0,0.0,0.0
2026-07-17,210.0,212.0,208.0,212.0,32543700,0.0282,0.8009,0.0,-0.0,0.0001,-0.0183,0.0052,-0.0,-0.272,-0.0247,0.0011,-0.2316,0.0846,0.0004,-0.1709,0.0005,-0.1003,0.0136,-0.0134,-0.0074,-0.284,0.0278,0.0,-0.0061,-0.0029,0.0012,-0.0137,0.1207,0.0063,0.003,0.0002,0.0426,-0.0318,0.0031,-0.0001,0.0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,212.0,212.0,208.0,210.0,33713200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,222.0,222.0,208.0,214.0,56500800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,214.0,222.0,212.0,222.0,43683400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,212.0,214.0,210.0,214.0,37002500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,204.0,210.0,204.0,210.0,40733900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
