Date,Close,High,Low,Open,Volume,XC,SQ,LG,AZ,XA,KK,CP,ZP,AT,KI,OD,AI,EP,XL,YP,DH,CC,FZ,MG,ES,YB,NI,BQ,MU,GR,HD,PD,DR,YU,IF,RO,RS,AO,QA,YJ,PC,DX,AG,IT,HP,CD
2026-07-13,113.0,113.0,104.0,105.0,6115400,-0.0054,0.0,0.0047,-0.0,-0.0016,-0.0552,0.2755,0.0,0.0,0.0,0.0014,0.0,0.0,-0.0968,-0.0389,-0.0154,-0.0088,0.0,-0.0246,0.0,-0.0002,-0.0059,-0.0049,0.0,-0.011,0.0,-0.006,0.0003,0.0,-0.0001,0.0,0.0,-0.0,0.0,-0.0012,0.0,0.0,-0.0001,-0.0001,-100.0,-0.0057
2026-07-14,118.0,138.0,113.0,113.0,58418700,0.031,-0.1964,0.003,0.0198,-0.0001,0.0366,-0.4494,-0.0388,0.0011,0.0014,-0.026,-0.0135,0.0012,0.5257,-0.0007,0.0233,0.1766,0.0,-0.0293,0.0,-0.0124,0.0175,0.0026,-0.0159,0.003,-0.0014,0.0252,-0.0054,-0.0647,-0.001,0.0013,0.0,0.0,0.0001,-0.0006,-0.0001,-0.0126,-0.0003,-0.0012,0.0001,0.0
2026-07-15,116.0,120.0,113.0,120.0,4026000,-0.0414,0.0001,-0.0087,0.0061,0.0,0.0347,0.0125,0.0002,0.0,-0.001,-0.0001,0.0,-0.0023,-0.1056,0.0315,-0.003,0.0277,0.0,0.0,0.0,0.0099,0.0032,0.0018,0.0,-0.0006,0.0,0.0029,0.0303,0.002,-0.0002,-0.0001,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,115.0,117.0,113.0,116.0,2228100,0.0085,0.0058,0.0,0.0,0.0,-0.0147,0.0154,0.0,0.0,0.0008,-0.0001,0.0,0.0,-0.0248,0.0257,0.0,-0.006,0.0,0.0,0.0,0.0031,-0.0229,-0.0057,0.0,0.0119,-0.0053,0.0074,0.0005,0.0003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,120.0,129.0,114.0,115.0,16490500,-0.0037,0.0001,-0.0002,-0.0192,-0.0001,-0.0271,-0.0309,0.0002,0.0003,-0.0012,0.0324,0.0,0.0044,0.2025,-0.0477,-0.0037,-0.0067,0.0046,-0.012,-0.0,-0.0149,-0.0043,-0.004,-0.001,-0.0234,-0.0181,0.0066,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,120.0,125.0,118.0,121.0,2342200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,118.0,125.0,115.0,120.0,4556800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,123.0,123.0,115.0,118.0,8664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,123.0,128.0,120.0,125.0,4353300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,119.0,123.0,116.0,123.0,1211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
