Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,AT,AK,EP,YP,DH,CC,YB,NI,BQ,PD,HD,QA,SQ,YJ,KK,CP,ZP,KI,AG,DX,OD,XL,MG,TP,IF,GR,HP,RO,DR,PC,BK,JB,CD,LS,AI
2026-07-13,990.0,990.0,980.0,985.0,2136000,-0.0417,-0.001,0.0018,0.0056,-0.0091,-0.0198,-0.0186,0.0012,0.0341,-0.0168,0.264,0.0025,-0.0083,0.0059,-0.1915,0.0022,-0.0017,0.4652,0.0,-0.1074,-0.0323,-0.0448,0.0003,0.0,0.0005,-0.0532,-0.191,0.0138,-0.0131,0.0,-0.0236,0.0001,0.0012,-0.0011,0.0,-0.0229,0.0005,0.0,0.0001,-0.001
2026-07-14,990.0,995.0,985.0,990.0,1469800,-0.026,0.0,0.0101,0.0103,0.0,-0.0001,0.0106,-0.0488,-0.0266,0.0149,-0.0569,0.031,0.0573,0.0054,-0.1797,-0.0022,0.0,-0.0331,0.0,0.006,-0.0008,-0.026,0.0,0.0,0.001,0.2865,-0.0011,0.0113,-0.0015,0.0197,0.0005,-0.005,-0.0013,0.0236,0.0,-0.0799,0.0005,-0.0001,0.0,0.0
2026-07-15,990.0,995.0,980.0,990.0,1739000,0.0496,0.0,0.0289,0.0001,0.0,0.0005,-0.007,-0.1341,-0.0097,0.0538,0.3131,0.0131,0.0317,0.0005,0.0052,0.0022,0.0,0.001,0.001,-0.4611,0.0,-0.0403,0.0071,0.0,0.062,0.0054,0.0354,0.0,-0.0023,0.0118,0.0223,0.0,0.0001,0.0,0.0099,0.0,0.0,0.0,0.0,0.0
2026-07-16,985.0,995.0,985.0,990.0,1429800,-0.1874,0.0,-0.0487,0.0,-0.0001,-500.0,-0.1012,-0.0034,0.0295,0.0771,0.0443,0.0006,0.0074,0.0101,0.0299,-0.0003,-0.0004,-0.007,0.0,-0.4118,-0.0018,0.04,0.004,0.0,0.0,0.0405,0.4018,0.0002,0.0004,0.0246,-0.0045,0.0,0.0002,-0.0468,0.001,0.1006,0.001,0.0,0.0,0.0
2026-07-17,1000.0,1000.0,985.0,990.0,3021200,-0.0816,-0.0553,-0.004,-0.008,-0.0001,0.0034,-0.4042,-0.0016,-0.1444,-0.0513,0.4554,-0.005,-0.1406,-0.1106,-0.1566,-0.0019,-0.0013,1.4,-0.0045,0.0137,-0.0002,0.0681,0.0001,-0.03,0.0009,-0.005,-0.6688,0.0001,-0.0204,-0.01,-0.0101,-0.0031,-0.0011,0.0124,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,995.0,1000.0,995.0,1000.0,1470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,990.0,1000.0,990.0,1000.0,2611900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,995.0,995.0,990.0,995.0,2212800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,995.0,1000.0,985.0,995.0,2624800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,985.0,990.0,980.0,990.0,2949000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
