Date,Close,High,Low,Open,Volume,XL,DR,NI,XC,AZ,CP,CC,PD
2026-07-13,1005.0,1015.0,1000.0,1000.0,600,-0.0001,0.0001,0.0,-0.0003,0.0,0.0,0.0002,0.0001
2026-07-14,1045.0,1045.0,1005.0,1005.0,1600,-0.0014,-0.0001,0.0,0.0,0.0,0.0,0.0015,0.0
2026-07-15,1060.0,1060.0,1045.0,1045.0,400,0.0,-0.0001,0.0,-0.0003,0.0,0.0,0.0004,0.0
2026-07-16,1075.0,1075.0,1055.0,1055.0,400,-0.0003,-0.0001,0.0,0.0,0.0001,0.0003,0.0,0.0
2026-07-17,1075.0,1075.0,1075.0,1075.0,800,-0.0002,-0.0002,0.0009,-0.0003,-0.0001,0.0,0.0,0.0
2026-07-20,1070.0,1070.0,1070.0,1070.0,100,,,,,,,,
2026-07-21,1070.0,1070.0,1070.0,1070.0,0,,,,,,,,
2026-07-22,1080.0,1150.0,1010.0,1010.0,3900,,,,,,,,
2026-07-23,1080.0,1080.0,1020.0,1080.0,700,,,,,,,,
2026-07-24,1075.0,1075.0,1075.0,1075.0,200,,,,,,,,
