Date,Close,High,Low,Open,Volume,XC,SQ,QA,YU,XA,AZ,KK,CP,ZP,OD,EP,AK,XL,AI,DH,YP,CC,MG,TP,YB,BQ,NI,PD,RO,DR,LG,AT,KI,BK,AG,IF,YJ,LS,DX,ES,MU,GR,TF,BS,PC,HP,SA,CD
2026-07-13,99.0,100.0,94.0,97.0,24938700,-0.0408,0.0061,-0.0001,-0.005,0.1002,-0.6592,-0.0903,0.0733,-0.0329,0.0036,0.0057,0.3218,-0.1154,-0.0006,-0.0101,0.0699,0.3454,-0.0,-100.0,-0.0014,-0.0009,0.0418,0.0019,-0.0001,0.0,0.0001,-0.0522,0.0958,-0.0605,0.0,0.0038,-0.0021,0.0,0.0005,0.0,0.0,0.003,0.0,0.0,0.0001,-0.0002,0.0,-0.0016
2026-07-14,101.0,107.0,97.0,100.0,65052100,-0.0135,0.0018,0.0009,-0.001,-0.0039,-0.0049,-0.0397,-0.024,0.002,0.2165,0.0311,-0.095,-0.2148,0.0031,-0.0832,0.0593,-0.4879,-0.0023,0.002,0.0582,0.0054,0.0228,0.6242,-0.0004,0.0302,0.0916,0.0093,-0.1056,0.0033,-0.0008,-0.0734,-0.0259,0.0,-0.0005,0.0005,-0.0021,0.0053,0.0,-0.0004,-0.0,0.0081,0.0003,0.0032
2026-07-15,99.0,103.0,99.0,102.0,17165600,0.0558,-0.0004,0.0002,0.1004,0.0027,-0.3322,0.0974,-0.0103,-0.0035,0.1777,-0.0113,-0.1046,0.1635,0.004,0.0015,0.0492,0.1148,0.0001,0.001,0.0211,0.0253,-0.0554,-0.3389,0.0015,0.01,0.0004,-0.0093,0.0,0.0121,-0.0016,0.0,0.0152,0.02,0.001,-0.0005,-0.0004,-0.0064,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,101.0,102.0,97.0,100.0,12069100,-0.0199,0.0273,0.0012,0.0287,-0.108,0.0034,-0.0336,-0.0008,0.0003,0.0145,-0.0155,-0.0015,-0.1578,-0.0148,-0.0012,-0.046,0.2493,-0.0001,0.0,0.0527,-0.0252,-0.0247,0.0279,-0.0002,0.051,-0.0001,-0.0101,0.001,0.0054,0.0011,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,102.0,104.0,100.0,102.0,10740600,-0.0413,0.0438,-0.0004,-0.0003,0.0028,0.0001,-0.0838,-0.0017,0.0152,-0.089,0.0024,-0.0002,0.215,-0.0001,0.0,-0.0083,-0.0661,0.0202,-0.0052,-0.0303,0.0483,-0.0028,-0.0143,-0.0008,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,103.0,111.0,101.0,102.0,72385400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,105.0,107.0,102.0,104.0,28286600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,105.0,109.0,104.0,107.0,25721700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,105.0,116.0,105.0,106.0,81721300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,100.0,108.0,99.0,106.0,25721200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
