Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,PC,AT,AK,EP,YP,DH,CC,GI,ES,YB,BQ,NI,HD,QA,SQ,YJ,RO,KK,LS,CP,ZP,KI,AG,OD,DX,XL,AI,FZ,MG,TP,IF,AO,GR,HP,PD,DR,BK,PG,TF
2026-07-13,119.0,121.0,113.0,120.0,7022100,0.0267,0.0,0.0006,0.0005,0.0001,0.0,0.0,0.0008,0.0,0.1025,-0.0013,-0.0759,0.0,0.0,0.0,0.008,0.0052,0.0,0.0,0.0125,0.0012,0.0,0.0342,0.0,0.0023,0.0,0.0,0.0,0.0006,0.0,-0.1105,0.0,0.0,-0.0006,0.0018,-0.0,0.0,-0.0022,0.0,-0.0118,0.0053,0.001,-0.0001,-0.0008
2026-07-14,120.0,129.0,117.0,120.0,28092500,-0.0063,-0.0,-0.0002,0.0037,-0.0012,0.0004,0.0004,0.1751,-0.0006,-0.0345,0.0012,-0.2131,0.0,0.0,-0.0012,0.0064,0.0047,0.0,0.0,0.0013,0.0,-0.0001,-0.0575,0.0,-0.0196,0.0041,0.105,0.0,-0.007,0.0,0.055,0.0,0.0011,0.0017,0.0164,-0.0,-0.0008,0.0133,0.0,-0.0136,-0.0392,0.0052,0.0,0.0
2026-07-15,123.0,129.0,119.0,120.0,19229700,-0.0143,-0.0011,-0.0007,-0.0005,0.0056,0.0,0.0009,-0.0059,0.0045,0.0095,-0.0013,0.2692,0.0,0.0,-0.0025,0.0076,-0.0134,0.0,0.0007,0.0304,0.0,-0.0011,-0.0039,0.0,0.0443,-0.0898,-0.11,0.0,0.0076,0.0,-0.1671,0.0,-0.0011,-0.0048,-0.0193,0.0,0.0138,0.0028,0.0,0.0185,0.0113,0.01,0.0,0.0
2026-07-16,122.0,128.0,119.0,126.0,7209200,-0.019,0.0001,0.0,0.0,-0.0004,0.0,0.001,-0.0433,-0.0027,0.0236,0.0,-0.1697,0.0,0.0003,0.0,-0.0007,0.0044,0.0,0.0011,0.0057,0.0,0.0,-0.0077,0.0242,-0.0003,0.0303,0.0815,0.0,-0.003,0.0001,0.034,0.0006,0.0,0.0006,0.0601,0.0001,0.0,-0.0065,0.0,0.0011,-0.0155,0.0,0.0,0.0
2026-07-17,132.0,142.0,123.0,125.0,71296500,0.0171,0.0034,-0.0022,0.0085,-0.0158,0.0021,-0.0007,-0.1268,0.009,0.0652,0.0013,-0.0597,-0.0,-0.0003,0.0112,-0.0212,-0.0033,0.0066,-0.0032,-0.0217,-0.0174,-0.0001,0.0115,-0.0269,-0.0184,-0.0208,-0.1215,0.0388,0.0094,0.0,0.3593,-0.0001,0.0002,-0.0009,-0.0678,-0.0001,-0.0135,-0.0094,-0.0012,0.0039,0.0055,0.0,0.0,0.0
2026-07-20,131.0,134.0,127.0,133.0,10692200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,131.0,133.0,128.0,131.0,4845400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,128.0,132.0,127.0,132.0,3481400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,127.0,131.0,126.0,127.0,5891900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,123.0,130.0,120.0,123.0,7969700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
