Date,Close,High,Low,Open,Volume,ZP,YP,OD,XL,CC,XA,XC,NI,AZ
2026-07-13,500.0,505.0,500.0,505.0,1400,-0.0006,0.0,-0.0001,0.0007,0.0,0.0,-0.0001,0.0,0.0001
2026-07-14,500.0,510.0,480.0,500.0,10900,-0.0001,-0.0003,-0.0001,0.0051,0.0001,0.0001,-0.0051,0.0002,0.0
2026-07-15,500.0,525.0,488.0,525.0,9900,-0.0021,0.0,-0.0009,0.002,0.0013,0.0001,-0.0011,0.0007,0.0
2026-07-16,500.0,510.0,500.0,505.0,7500,-0.0036,0.0,-0.0001,0.0036,0.0001,0.0001,-0.0001,0.0,0.0
2026-07-17,500.0,505.0,500.0,505.0,200,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,490.0,505.0,488.0,505.0,1200,,,,,,,,,
2026-07-21,500.0,505.0,492.0,505.0,6900,,,,,,,,,
2026-07-22,490.0,550.0,482.0,505.0,18700,,,,,,,,,
2026-07-23,500.0,510.0,482.0,510.0,2100,,,,,,,,,
2026-07-24,498.0,498.0,482.0,494.0,10300,,,,,,,,,
