Date,Close,High,Low,Open,Volume,XC,SQ,LG,AZ,KK,CP,ZP,AK,XL,YP,CC,NI,GR,HD,PD,DR,EP,XA,OD,AI,DH,BQ
2026-07-13,296.0,296.0,290.0,294.0,137400,0.0047,0.0,0.0,0.0,-0.0029,0.0,0.0,0.0019,0.0186,0.0079,-0.0212,0.0,0.0,-0.0001,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2026-07-14,298.0,306.0,290.0,290.0,209800,-0.0046,0.0321,0.0,-0.0006,0.0,0.0,0.0,-0.0056,0.0098,-0.0026,-0.0017,0.0,-0.0002,0.0,-0.0257,0.0,0.0,0.0,0.0001,0.0,-0.001,0.0
2026-07-15,298.0,298.0,294.0,298.0,343500,-0.0009,0.0,0.0001,0.0,0.0,0.0,0.0,-0.0062,-0.0556,0.0543,-0.0119,0.0019,-0.0089,0.0001,0.0015,0.0,0.0002,0.0001,0.0001,0.0229,0.0023,0.0
2026-07-16,300.0,306.0,296.0,298.0,218600,0.0043,-0.0,0.0,-0.0015,0.0,-0.0003,0.0,-0.0029,0.0218,0.0024,0.0014,0.0003,-0.0387,-0.0,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,306.0,308.0,292.0,296.0,523400,0.0008,-0.0015,-0.0001,-0.0018,0.0009,-0.0119,-0.0003,-0.0063,-0.046,0.0723,0.0203,0.0,-0.0392,-0.0,0.0125,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,306.0,312.0,304.0,310.0,97300,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,300.0,308.0,294.0,308.0,1505100,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,298.0,304.0,296.0,302.0,523800,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,296.0,310.0,292.0,298.0,742600,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,294.0,296.0,288.0,294.0,468200,,,,,,,,,,,,,,,,,,,,,,
