Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,PD,XC,CC,XL,ZP,HP,NI,SQ,KK,YP,KI,AT,AK,CP,TP
2026-07-13,610.0,615.0,610.0,610.0,6800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0002,0.001,-0.0011,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0001,0.0,0.0006
2026-07-14,620.0,625.0,615.0,615.0,11400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0022,-0.0004,0.0001,0.0011,0.0,0.0001,0.0,-0.0005,0.0,-0.0024,0.0,-0.0002,0.0001,-500.0,0.0
2026-07-15,625.0,625.0,620.0,620.0,9100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0016,0.0009,-0.0001,0.0012,0.0,0.0,-0.0039,0.0,-0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0
2026-07-16,625.0,625.0,615.0,620.0,15800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0014,0.0011,-0.0016,-0.0011,-0.0001,0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,630.0,630.0,625.0,625.0,17000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.01,-0.0028,-0.0028,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,610.0,635.0,605.0,630.0,9500,,,,,,,,,,,,,,,,,
2026-07-21,615.0,635.0,610.0,610.0,31200,,,,,,,,,,,,,,,,,
2026-07-22,620.0,620.0,610.0,615.0,9700,,,,,,,,,,,,,,,,,
2026-07-23,630.0,630.0,615.0,620.0,22800,,,,,,,,,,,,,,,,,
2026-07-24,600.0,630.0,600.0,630.0,65500,,,,,,,,,,,,,,,,,
