Date,Close,High,Low,Open,Volume,XC,SQ,XL,YP,DH,CC,PD,AT,YU,OD,EP,NI,KK,RO
2026-07-13,5975.0,6000.0,5575.0,5650.0,8500,0.0298,0.0,-0.0233,0.0,-0.0017,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,-0.0006
2026-07-14,5750.0,5950.0,5675.0,5950.0,4100,-0.0137,0.0011,0.0069,0.0,0.0006,0.0046,0.0,0.0,0.0,0.0012,-0.0006,-0.0,0.0,0.0
2026-07-15,5850.0,5850.0,5750.0,5850.0,1800,-0.0017,-0.0006,0.0035,0.0,0.0,-0.0023,0.0,0.0017,-0.0012,0.0006,0.0,0.0,0.0,0.0
2026-07-16,5750.0,5850.0,5725.0,5850.0,1000,-0.0,0.0,0.0023,0.0,0.0,-0.0029,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,5825.0,5850.0,5725.0,5750.0,2300,-0.0011,-0.0006,0.0017,-0.0012,-0.0006,0.0011,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,5725.0,5825.0,5550.0,5825.0,1500,,,,,,,,,,,,,,
2026-07-21,5700.0,5800.0,5600.0,5725.0,1800,,,,,,,,,,,,,,
2026-07-22,5700.0,5700.0,5550.0,5700.0,3000,,,,,,,,,,,,,,
2026-07-23,5775.0,5800.0,5700.0,5700.0,1900,,,,,,,,,,,,,,
2026-07-24,5575.0,5575.0,5525.0,5525.0,200,,,,,,,,,,,,,,
