Date,Close,High,Low,Open,Volume,KI,QA,OD,CP,YU,CC,HP,YP,DR,RO,SQ,AG,NI,BQ,XC,AT,PD,XL,CD,AO,DH,XA,HD,LG,GR,AZ,KK,TP,YB,YJ,PC
2026-07-13,210.0,218.0,206.0,216.0,59600,0.0,0.0,-0.0021,0.0,-0.0008,0.004,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0004,-0.0038,-0.0001,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
2026-07-14,212.0,218.0,208.0,210.0,43700,0.0,0.0,-0.0,0.0,0.0,0.0013,0.0,-0.0008,-0.0001,0.0006,0.0005,0.0,0.0,0.0011,0.0001,0.0004,0.0,-0.0027,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0008,0.0001
2026-07-15,222.0,244.0,212.0,212.0,1101100,0.0,0.0052,-800.0,0.0013,0.0009,0.0216,0.0025,-0.0219,-0.0,0.0,-0.0003,0.0,-0.0004,0.0017,-0.0076,-0.0,-0.0029,-0.0073,0.0,-0.001,-0.0016,0.0,0.0,0.0001,-0.0,0.0057,-0.0012,-0.0004,0.0055,0.0,0.0
2026-07-16,220.0,228.0,214.0,222.0,520900,0.0,0.0,0.0,0.0014,0.0,-0.0032,0.0,0.0,0.0001,0.0,-0.0002,0.0,0.0,0.0,0.0005,-0.0004,0.0004,-0.0001,0.0,0.0003,0.0013,-0.103,0.103,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,224.0,240.0,216.0,222.0,164400,-0.0,-0.0,0.0001,-0.0021,-0.0018,0.0099,0.0011,0.0017,-0.0,-0.0008,-0.0027,0.0001,0.0002,0.0001,-0.0002,0.0022,0.0004,-0.0084,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,222.0,230.0,218.0,224.0,100500,0.0,0.0,-0.0014,-0.0001,0.0,-0.0002,0.0023,0.0009,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0011,0.0,0.0005,-0.0068,-400.0,0.0,0.0,-0.0006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0
2026-07-21,224.0,230.0,222.0,230.0,550900,0.0,0.0,0.0011,-0.0005,0.0014,-0.0007,0.0,-0.0028,-0.0,0.0,0.0054,0.0,0.0,0.0,-0.0002,0.0,-0.0009,0.002,0.0,0.0,0.0,0.104,-0.104,0.0,0.0,0.0,0.0,0.0006,-0.0054,0.0,0.0
2026-07-22,224.0,232.0,218.0,228.0,66600,0.0,0.0,-0.0,-0.0,-0.0013,-0.0,-0.0011,0.004,-400.0,-0.0001,0.0,0.0,0.0006,0.0,0.0017,0.0,-0.0002,-0.0057,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0024,0.0
2026-07-23,226.0,230.0,220.0,222.0,119900,0.0,0.0,0.0003,-0.0045,0.0,0.0027,0.0,0.0004,0.0,0.0,0.0,0.0,0.0003,0.0067,0.0004,0.0,-0.0002,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0011,-0.007,0.0
2026-07-24,218.0,230.0,218.0,224.0,37700,0.0,0.0,-0.0004,0.0,0.0,-0.0003,0.0,0.0013,-0.0,0.0,0.0,0.0,0.0,-0.001,-0.0022,0.0,-0.0001,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0
