Date,Close,High,Low,Open,Volume,XC,SQ,RO,PO,AZ,CP,PC,ZP,AG,XL,SH,YP,CC,BQ,IU,BR,IN,HP,PD,DR,IH,XA,AO,GR,QA,OD
2026-07-13,312.0,322.0,308.0,310.0,337200,0.0,-0.0036,0.0,-0.0016,-0.0007,0.0,0.0094,0.0317,0.0161,-0.0044,0.0096,-0.013,-200.0,-0.0113,-0.0043,0.0032,-0.0097,0.0,-0.0211,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,308.0,316.0,308.0,314.0,508100,0.0002,0.0,0.0,-0.0174,-0.0189,0.0,0.0,0.0235,0.0,-0.0237,-0.0774,0.0027,0.0112,0.0,0.0197,0.0,0.0182,0.0,0.0,0.0001,0.0621,0.0,0.0,-0.0,0.0,-0.0001
2026-07-15,310.0,314.0,308.0,308.0,717600,-0.0018,-0.0005,0.0,-0.0077,-0.0067,-0.0081,0.0,0.0,0.0523,-0.0251,0.0495,-0.0025,-0.006,0.031,-0.0965,0.0,0.0078,0.0,-0.001,-0.0001,0.0,0.0,0.0156,0.0,0.0,0.0
2026-07-16,310.0,330.0,310.0,310.0,4967400,-0.0021,0.0016,0.0,0.1267,0.1522,0.0468,0.062,0.0,0.2519,-0.0323,-0.7064,-0.1827,0.0196,0.1401,-0.0503,0.0005,0.0452,0.0,-0.0134,-0.0,0.1271,-0.0033,0.016,0.0006,0.0,0.0
2026-07-17,308.0,316.0,304.0,316.0,2093400,0.0001,-0.001,-0.0001,0.0554,0.0624,-0.0445,-0.0002,0.0729,-0.2554,0.0353,-0.0001,-0.0284,0.0223,-0.0001,-0.0146,-0.0001,0.0892,0.0,0.0064,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,304.0,314.0,304.0,308.0,3247300,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,290.0,308.0,290.0,308.0,744900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,288.0,296.0,284.0,292.0,537300,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,280.0,288.0,276.0,288.0,479700,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,278.0,280.0,270.0,280.0,399900,,,,,,,,,,,,,,,,,,,,,,,,,,
