Date,Close,High,Low,Open,Volume,EP,HP,YP,DR,MG,DX,OD,NI,SQ,XC,CP,PD,XL,TP,MU,CC,KI,QA,RO,AZ,GR,LG,YB,DH,KK,IF,FZ,BQ,YU,YJ,AT
2026-07-13,17.0,17.0,16.0,17.0,4808600,0.0,0.0,0.0019,0.0013,-0.0075,0.0,-0.0005,0.0001,0.0,0.0047,-0.0,0.003,-0.011,0.0,0.0,-0.001,0.0001,-0.0009,0.0,0.0,0.0,0.0,0.0081,-0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0
2026-07-14,18.0,18.0,17.0,17.0,3336600,0.0,0.0,0.001,0.0,-0.0082,0.0,0.0,0.0001,0.0,-0.0121,-0.0,-0.0036,0.0016,0.0,0.0,-0.0051,0.0017,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0245,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-15,18.0,18.0,17.0,18.0,4057900,0.0,0.0,0.0113,0.0,0.0094,0.0,-0.0067,-0.0001,0.0002,-0.0004,-0.0001,-0.0001,-0.0139,0.0,0.0,-0.0001,-0.0,0.0,0.0003,0.0,0.0002,0.0,-0.0013,-0.0,0.0014,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,18.0,19.0,18.0,18.0,2878100,0.0,0.0,-0.0,0.0001,-0.0083,0.0,0.0046,-0.0002,0.0002,-0.0107,0.0,-0.0125,0.0105,0.0,0.0,0.012,0.0021,0.0002,-0.0,-0.0,0.0092,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,18.0,18.0,17.0,18.0,2325800,0.0,0.0,0.0012,0.0007,-0.0117,0.0009,0.0036,0.0005,-0.0001,-0.0001,0.0001,0.0027,-0.001,0.0004,-0.0011,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,19.0,19.0,18.0,18.0,2118000,0.0001,0.0,0.0016,-0.0002,0.0036,0.0,-0.0108,-0.0003,0.0,-0.0109,-0.0001,0.0003,0.0146,0.0,-0.0045,0.0032,0.0011,0.0001,-0.0004,0.0003,0.0,0.0,0.0014,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0011
2026-07-21,19.0,19.0,19.0,19.0,2777500,0.0,0.0,0.0053,0.0002,0.0076,0.0009,0.0,-0.0001,0.0004,-0.0026,-0.001,-0.0012,-0.0064,0.0003,0.0,0.0059,0.0009,0.0,0.0,0.0013,0.0,0.0,0.0,-0.0004,-0.0055,0.0001,0.0,-0.0057,0.0,0.0,0.0
2026-07-22,19.0,19.0,18.0,18.0,3726900,0.0018,0.0001,-0.0143,0.0005,0.0038,0.0023,0.0011,0.0,0.0013,0.003,0.0001,0.005,0.0157,0.0,0.0,-0.0048,0.0009,0.0,0.0,0.0006,0.0036,0.0,0.0046,0.0,-0.0256,0.0,0.0,0.0,0.0,0.0,0.0003
2026-07-23,19.0,19.0,19.0,19.0,2512400,0.0003,0.0001,-0.0007,-0.0005,-0.004,0.0,-0.0003,0.0001,-0.0,0.0034,0.0003,0.0002,0.004,-0.0,0.0,0.0042,0.0021,0.0,0.0,0.0019,-0.0007,0.0,-0.0084,0.0,-0.0034,0.0,0.0,0.0009,0.0,0.0,0.0005
2026-07-24,18.0,19.0,18.0,19.0,3335400,0.0002,0.0,0.0039,0.0005,0.0,0.0014,-0.0217,0.0007,0.0001,-0.0033,0.0005,0.0027,0.0017,0.0002,0.0,0.004,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0048,0.0,0.0037,0.0,0.0,0.0,0.0002,0.0,0.0
