Date,Close,High,Low,Open,Volume,CP,GR,XL,DR,YP,PD,CC,XA,KK,AT,XC,SQ,TP,OD,BQ,NI,YU,PO,LG,BK,RO,DH,MG,YJ,IF,EP,FZ,AZ,YB,IH,HD,AG,ZP,HP,TF,KI,DX,LS,DU
2026-07-13,67.0,69.0,64.0,64.0,12527100,-0.0524,0.0,0.0506,0.0116,-0.0083,0.0198,-0.0776,0.0,0.0011,-0.001,0.0054,0.0774,0.0022,0.0041,0.0011,-0.0075,0.0152,0.0118,0.0,0.0,-0.0,0.0062,0.0092,0.0,0.0,-0.0043,0.0,-0.0223,0.0,0.005,-0.0458,-0.0013,0.0,-0.0,0.0,-0.0002,0.0,0.0,-0.0001
2026-07-14,69.0,72.0,67.0,68.0,19312600,0.0923,-0.0033,-0.0382,-0.0115,0.0593,-0.0184,-0.0421,-0.1107,0.005,-0.0001,0.0711,-0.0019,-0.0123,0.0392,-0.001,0.0201,0.0137,-0.0058,-0.0372,0.0,-0.0002,0.007,-0.0809,0.0021,0.0,0.031,0.0,0.0037,0.0319,-0.013,0.0,0.0,0.0,-0.0014,0.0,0.001,0.0004,-0.0,0.0
2026-07-15,68.0,71.0,67.0,70.0,6614700,0.0219,-0.0051,0.0208,0.0,-0.0085,0.0611,-0.0314,0.002,-0.0032,0.0003,0.0032,0.0022,0.0,0.0004,0.0001,-0.0123,0.0003,0.0,-0.1575,0.0,0.0,-0.0073,0.0182,0.0,-0.0068,0.0011,0.0,-0.0016,0.0,0.0,0.0001,-0.0009,0.1035,-0.002,0.001,0.0,0.0,0.0,0.0
2026-07-16,69.0,69.0,66.0,67.0,8209600,-0.0623,0.0041,0.0832,-0.0002,0.0007,0.0103,-0.0155,0.0,-0.0326,-0.0,0.0012,-0.0156,-0.0031,0.0001,-0.0002,-0.0116,-0.0054,0.0042,0.0,0.0,0.0011,-200.0,0.0482,-0.0021,0.0014,-0.0036,-0.068,0.012,-0.0277,0.0133,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,69.0,70.0,67.0,69.0,9774900,0.0071,0.0002,0.0429,0.0134,0.0119,0.0087,-0.0153,-0.0001,0.0017,0.0027,0.0157,-0.0098,-0.0248,0.001,0.0,-0.0222,-0.0088,0.0014,-0.0824,-0.0053,0.0004,0.0,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,73.0,79.0,68.0,69.0,73132200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,76.0,76.0,71.0,74.0,21581500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,74.0,76.0,72.0,76.0,13955200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,73.0,76.0,72.0,73.0,19672400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,70.0,73.0,68.0,72.0,9803600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
