Date,Close,High,Low,Open,Volume,XC,SQ,YJ,AZ,XA,KK,LS,CP,AT,OD,AK,EP,XL,YP,CC,AR,BQ,NI,HP,PD,DR,DH,HD,LG,AG,YB,GR
2026-07-13,198.0,204.0,197.0,198.0,382600,0.0,0.0021,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0253,0.0312,-0.0384,0.0,0.0,0.0006,0.0,0.0,0.0002,-0.0199,0.0002,0.0,0.0,0.0,0.0
2026-07-14,200.0,202.0,197.0,200.0,26200,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,-0.0009,0.0012,-0.0003,0.0,0.0,0.0001,0.0,0.0,-0.0002,0.0,-0.0001,0.0,0.0,0.0,0.0
2026-07-15,200.0,202.0,199.0,200.0,166600,-0.0012,0.0001,0.0,0.002,0.0,0.0,0.002,-0.0025,0.0,0.0003,-0.0018,0.0017,-0.0033,-0.0,0.004,0.0,0.0,0.0012,0.0,-0.0022,-0.0,0.0,-0.0,-0.0003,0.0,0.0,0.0
2026-07-16,199.0,204.0,198.0,204.0,106000,-0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,-0.0001,0.0,-0.002,-0.0066,0.0052,0.0042,-0.001,0.0,0.0,0.0046,0.0037,-0.0004,0.0002,-0.0001,-100.0,0.0,0.0,0.0,0.0
2026-07-17,204.0,204.0,200.0,200.0,385500,-0.0001,-0.0019,0.0202,0.002,-0.0046,0.0,0.0022,0.0043,0.0,0.0,-0.0019,-0.0185,-0.0079,0.0111,0.0043,0.0041,-0.0101,-0.0003,-0.0038,0.0028,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,204.0,210.0,204.0,204.0,192000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,216.0,220.0,204.0,206.0,475200,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,210.0,220.0,200.0,216.0,750200,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,214.0,216.0,208.0,212.0,265100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,210.0,216.0,202.0,216.0,206900,,,,,,,,,,,,,,,,,,,,,,,,,,,
