Date,Close,High,Low,Open,Volume,XA,YB,AZ,DH,ZP,AK,AT,YU,HD,GR,YP,AO,IF,CC,RO,NI,BB,CD,SQ,TP,XL,PD,LS,YJ,EP,KK,LG,BQ,OD,XC,CP,AG,DX,BK,DR,MG,KI,RG,HP,AI,ES,QA,FS,YO,BS,PO,SS,IT,RS,AR,TF,MU
2026-07-13,282.0,286.0,278.0,282.0,11138700,0.0,0.0,-0.0041,0.0006,-0.5486,-0.0129,0.0,0.0003,-0.0024,-0.0015,-0.048,-0.0057,0.0,-0.1222,-0.0028,0.0073,0.0,0.0093,0.004,0.0094,0.0315,0.1162,0.0,-800.0,-0.0365,0.0223,0.0074,0.0,-0.3992,-0.0459,-0.0378,0.0,-0.0093,-0.0014,0.0011,-0.324,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0014,0.0001
2026-07-14,290.0,292.0,280.0,282.0,10846500,0.0,-0.0051,-0.0185,-0.0088,0.3046,-0.0483,0.0025,-0.0337,-0.0,-0.0053,-0.0185,-0.0115,-0.0014,0.0405,0.0,-0.3231,0.0,-0.0004,-0.6399,0.0028,0.1013,-0.1865,0.0,-0.0002,-0.0039,-0.1255,0.0105,-0.1015,-0.1235,0.0041,-0.0001,-0.0144,-0.0022,-0.1444,0.0671,0.0011,1.3,0.0,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058,0.0,0.0016,0.0
2026-07-15,290.0,294.0,288.0,290.0,8874300,0.0,-0.0006,-0.2135,-0.0011,-0.0308,-0.0426,-0.0041,-0.1892,0.0019,-0.0001,-0.1265,0.0,0.0005,-0.467,-0.0004,-0.1287,0.0,-0.0116,-0.1518,0.0,-0.1079,0.0307,0.0017,0.0,0.0206,-0.3015,0.0015,-0.1345,-0.1577,0.0132,-0.0292,0.0,-0.0028,-0.0136,-0.006,0.0064,2.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,0.0015,0.0001,-0.0044,0.0044,-0.0087,0.0015,0.0,0.0
2026-07-16,298.0,300.0,290.0,290.0,12247300,-0.0001,0.0024,-0.0372,-0.0102,-0.172,-0.0483,0.0001,-0.0503,0.0015,0.0045,-0.3489,-0.0118,-0.0076,0.3594,-0.2229,0.0348,0.0,-0.1192,0.0716,-0.0066,0.0384,0.0021,-0.0001,-0.0897,-0.151,-0.0166,0.0882,0.0135,-0.7648,0.053,-0.002,-0.0001,0.0,0.0084,0.0166,-0.004,1.4,-0.0002,0.0209,-0.0328,-0.0059,0.0006,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,302.0,304.0,296.0,300.0,7343800,-0.0299,0.0034,-0.0151,0.0,-0.1722,-0.2043,-0.0032,-0.0256,0.007,0.005,0.0101,0.0001,-0.0008,-0.1188,-0.0,0.0132,0.2281,-0.1834,-0.25,0.0594,-0.0428,-0.163,-0.0003,-0.0005,-0.0023,-0.112,-0.0302,0.0056,0.0032,-0.1048,0.0152,-0.0105,0.0001,-0.008,-0.0082,-0.0055,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,306.0,310.0,302.0,302.0,12605900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,322.0,324.0,306.0,306.0,29258900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,332.0,332.0,320.0,326.0,46413500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,338.0,344.0,332.0,334.0,45978800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,334.0,338.0,330.0,338.0,31241400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
