Date,Close,High,Low,Open,Volume,CC,LG,DR,XL,YU,XC,CP,YP,MG,KK,PD,NI
2026-07-13,21425.0,21425.0,21425.0,21425.0,0,,,,,,,,,,,,
2026-07-14,20675.0,21300.0,20000.0,21300.0,8700,0.0,0.0414,0.002,-0.0672,0.0,0.0127,0.0102,0.0048,0.0001,0.0,-0.002,-0.002
2026-07-15,20700.0,20700.0,20000.0,20650.0,3000,0.004,0.0247,0.0001,-0.004,-0.004,-0.0022,-0.01,-0.0065,0.0001,-0.002,0.0,0.0
2026-07-16,20625.0,20625.0,20625.0,20625.0,200,0.0,0.0041,-0.0021,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,20625.0,20625.0,20200.0,20200.0,3100,0.0566,-0.0585,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,20600.0,20600.0,20600.0,20600.0,200,,,,,,,,,,,,
2026-07-21,20600.0,20600.0,20600.0,20600.0,0,,,,,,,,,,,,
2026-07-22,20600.0,20600.0,20000.0,20600.0,2500,,,,,,,,,,,,
2026-07-23,20600.0,20600.0,20125.0,20600.0,2100,,,,,,,,,,,,
2026-07-24,20500.0,20600.0,20150.0,20600.0,1000,,,,,,,,,,,,
