Date,Close,High,Low,Open,Volume,XC,YU,AK,EP,XL,CC,PD,AZ,NI,IF,OD,YJ,BK
2026-07-13,20975.0,20975.0,20800.0,20800.0,46000,0.0,0.0,0.023,0.0272,-0.0775,0.0647,-0.0211,0.0,0.0,-0.0478,0.0105,0.0,0.021
2026-07-14,20925.0,20975.0,20900.0,20925.0,40900,0.0,-0.0021,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0105,0.0
2026-07-15,21500.0,21600.0,20900.0,20900.0,47400,0.1015,0.0,0.0,-0.0022,-0.0469,0.0441,0.0,-0.0945,0.0022,-0.002,-0.0022,0.0,0.0
2026-07-16,21400.0,21500.0,21400.0,21500.0,40500,0.0,0.0,0.0,0.0,0.0043,-0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,21025.0,21425.0,21000.0,21000.0,55500,0.0021,-0.0064,0.0105,-0.0021,0.0021,0.0367,-0.0428,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,21125.0,21125.0,20950.0,21075.0,42800,,,,,,,,,,,,,
2026-07-21,21475.0,22125.0,20925.0,21100.0,171600,,,,,,,,,,,,,
2026-07-22,21650.0,22000.0,21500.0,21500.0,44800,,,,,,,,,,,,,
2026-07-23,21650.0,21650.0,21600.0,21650.0,41600,,,,,,,,,,,,,
2026-07-24,21550.0,21625.0,21300.0,21500.0,41500,,,,,,,,,,,,,
