Date,Close,High,Low,Open,Volume,XL,CC,PD,YP,XA,EP,KI,KK,AT,SF,XC,SQ,OD,NI,AZ,ZP,YB,HP,DH,MG,CP,GR,AI,QA,LG,RO,DR,FS,BQ,YU,RG,IF,PC
2026-07-13,210.0,230.0,206.0,230.0,1878200,0.0346,0.0083,0.0156,-0.052,-0.0034,0.0001,0.0,-0.001,0.0,0.0,0.0683,0.0009,-0.0,-0.0521,-0.0016,0.0,0.0,0.002,-0.0117,-0.0004,-0.0088,-0.0109,0.0105,0.0,0.0012,0.0,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0
2026-07-14,210.0,220.0,195.0,220.0,2340300,-0.0047,0.0421,0.0179,-0.1252,0.0105,-0.0003,0.0003,0.0,0.0,0.0,0.0122,0.0076,0.0074,-0.0009,0.0,0.0,0.0009,0.004,0.001,0.0328,-0.0006,-0.0046,0.0,0.0,-0.0001,0.0,0.0,-0.0,0.0,0.0,0.0001,-0.0004,0.0
2026-07-15,206.0,216.0,199.0,212.0,1530000,0.0139,0.0169,-0.0526,0.0052,0.0046,0.0,0.0009,0.0,0.0,0.0,0.0511,0.0412,-0.0202,0.001,-0.0611,0.0,0.0,0.0,0.0008,0.0,-0.0021,0.0,0.0,0.0,-0.0001,0.0002,0.0021,-0.0,-0.0041,0.0022,0.0,0.0,0.0
2026-07-16,204.0,210.0,202.0,206.0,956100,0.0185,-0.0801,0.0178,0.0115,0.0003,-0.0004,0.0,0.0,0.0,0.0,0.0152,0.0627,0.0,0.0001,-0.0002,0.0,0.0,-0.0042,0.0006,0.0,-0.0466,-0.0055,0.0103,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,208.0,210.0,204.0,206.0,1271900,0.016,0.0203,-0.0132,-0.0326,-0.0001,0.0013,0.0003,0.0017,0.0,0.0001,-0.1113,-0.0094,0.0,-0.0063,0.0004,0.1259,0.0001,0.0053,0.0004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,210.0,212.0,204.0,208.0,1499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,210.0,222.0,208.0,210.0,2299300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,210.0,216.0,208.0,216.0,976700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,220.0,230.0,210.0,214.0,5510900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,218.0,242.0,212.0,242.0,959000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
