Date,Close,High,Low,Open,Volume,BK,RO,PD,OD,AG,XC,CC,XL,TP,BQ,QA,SQ,YP,FS,CP,AK,EP,NI,MG,KK
2026-07-13,2070.0,2150.0,1845.0,2000.0,28500,-0.001,0.0,0.0002,-0.0002,0.0,-0.0008,-0.0038,0.0155,0.0,0.0,0.0,-0.0002,-0.0056,-0.002,-0.0008,-0.0004,-0.0001,-0.0008,0.0,0.0
2026-07-14,1965.0,2120.0,1930.0,2070.0,45300,-0.0028,0.0,0.009,0.0,-0.0,0.0009,-0.0232,-0.0062,0.0,0.0,0.0,0.0,0.0001,0.0,0.0219,0.0,0.0002,0.0,0.0,0.0
2026-07-15,1800.0,2150.0,1800.0,2060.0,185100,-0.0031,0.0007,-0.0037,0.0056,0.0,0.0129,-0.0535,0.0577,0.0015,0.0052,0.0,0.0004,-0.0073,0.0011,-0.0172,-0.0002,-0.0,-0.0002,0.0002,-0.0
2026-07-16,1810.0,1845.0,1800.0,1840.0,32800,-0.0036,0.0,-0.0022,-0.0007,0.0002,0.01,-0.0005,-0.0119,-0.0014,-0.0038,0.0002,0.0,-0.0007,0.0146,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1805.0,1825.0,1805.0,1810.0,29700,-0.0175,0.0489,-0.0005,-0.0004,-0.0002,-0.0023,-0.0045,-0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1800.0,1835.0,1800.0,1800.0,14800,-0.0114,0.0,0.0,0.0,0.0002,-0.0018,0.0023,0.0011,0.0,0.0,0.0,-0.0002,0.0,0.0097,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,1800.0,1825.0,1800.0,1825.0,8000,-0.0088,0.0,0.0,0.0,-0.0002,-0.0006,-0.0007,-0.0012,0.0,0.0,0.0,0.0,-0.0002,0.0117,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,1925.0,2150.0,1800.0,1815.0,100300,-0.0046,-0.0,0.015,0.0478,0.0,-0.0138,-0.007,-0.0491,0.0,-0.0013,-0.0002,0.0,0.0024,0.0095,0.0,0.0,-0.0,0.0,0.0,0.0013
2026-07-23,1855.0,2080.0,1835.0,1925.0,16800,-0.0027,-0.001,-0.0052,0.0158,0.0,0.0089,-0.0055,-0.0083,0.0,0.0,0.0,0.0,-0.0024,0.0,0.0,0.0,0.0012,0.0,0.0,-0.0008
2026-07-24,1800.0,2080.0,1800.0,2040.0,47300,0.0,0.0,0.0009,-0.0629,0.0,0.0069,-0.006,0.0022,0.0,0.0,0.0,0.0037,0.0069,0.0486,0.0,0.0,-0.0002,0.0,0.0,0.0
