Date,Close,High,Low,Open,Volume,RO,PD,BQ,OD,AZ,MG,SQ,YP,KK,XC,CC,XL,AT,XA,YB,LG,ZP,GR,CP,NI,ID,RS,DR,AI,EP,IF,QA,YJ,DH,LS
2026-07-13,126.0,130.0,125.0,128.0,1720700,0.0001,0.0022,-0.0009,-0.0013,0.0,-0.0001,0.0017,-0.0005,0.0038,0.0146,0.0104,-0.0284,-0.0006,0.0,0.0,0.0,0.0,0.0006,-0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0
2026-07-14,130.0,133.0,126.0,129.0,2580300,0.0,0.0125,0.0004,0.0021,-0.0,0.0015,0.0002,-0.0107,-0.0032,0.0104,0.0493,-0.061,0.0,0.0,0.0,0.0,0.0,0.0013,-0.0066,0.0,0.0,0.0,0.0,-0.0004,0.0013,0.0,-0.0001,-0.0007,-0.0001,0.0038
2026-07-15,134.0,140.0,128.0,129.0,5659400,0.0009,-0.0099,0.0082,-0.0009,0.0113,0.0031,-0.0033,-0.009,0.0034,-0.0041,0.0984,-0.0752,-0.0,0.0,0.0053,0.0,0.0,-0.002,0.009,-0.0002,-0.0001,-0.0001,-0.0003,-0.0018,-0.033,0.0002,0.0,0.0,0.0,0.0
2026-07-16,133.0,135.0,131.0,135.0,1838100,0.0001,-0.0015,0.0042,0.0321,-0.0066,0.0005,0.0002,0.0093,0.0034,0.0223,-0.0495,0.0175,-0.0,0.0002,-0.0053,-0.0001,-0.0,-0.0252,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,129.0,136.0,128.0,133.0,2126700,0.0,0.0129,0.0002,0.0003,-0.0006,-0.0038,-0.0002,0.0048,-0.0026,-0.0052,0.0153,-0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,131.0,135.0,130.0,130.0,1518300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,132.0,133.0,127.0,131.0,4137600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,139.0,152.0,137.0,137.0,40710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,135.0,143.0,135.0,140.0,11322200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,131.0,136.0,130.0,136.0,1436400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
