Date,Close,High,Low,Open,Volume,HD,XL,PD,EP,XC,CP,SQ,MG,AZ,NI,BQ,LG,BK,KI,AG,XA,QA,AT,YB,GR,YP,AK,CC,OD,KK,DR,YU,LS,DH,TP,HP,RO,ZP,BR,IF,PC,RG,AI,FZ,PO,TF,MI,AO,PG,MU,ZR,ES,YJ,IH
2026-07-13,69.0,77.0,64.0,65.0,494137100,-0.0069,1.0,-0.0111,-0.0795,0.2363,-0.0751,-0.0197,0.0147,-0.0245,0.0015,-0.1571,0.0121,0.0144,-0.0057,0.0466,0.0054,0.0009,0.0,0.0003,-0.0842,-0.1356,0.0024,-0.6467,-0.0126,-0.1353,-0.0034,-0.0161,0.0,0.044,-0.0036,0.0279,-0.0003,-0.0016,0.0,-0.0017,0.002,0.0,0.0005,-0.0001,0.0,0.0,0.0,-0.0144,-0.0043,-0.0002,-0.0001,-0.0007,0.0047,0.0001
2026-07-14,68.0,70.0,66.0,70.0,43067300,0.0135,-0.1821,0.0105,-0.0552,0.0042,-0.0218,-0.0016,-0.0228,0.0045,0.0924,-0.0065,-0.0034,-0.0179,0.0007,0.0033,0.0038,0.0042,-0.0001,0.0326,0.0219,-0.0658,-0.0031,0.2009,0.0033,0.0051,0.0002,-0.0002,0.0,-0.0218,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0054,0.0,-0.0,-0.0033,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,69.0,71.0,67.0,68.0,54939700,0.0,-0.0663,-0.0203,0.0091,-0.004,-0.0366,-0.0007,-0.0,-0.0001,-0.1171,0.0026,0.0005,0.0071,-0.0003,-0.0015,0.0127,0.0086,0.0018,0.0091,-0.0003,0.001,0.0,0.101,0.014,0.0386,-0.0006,0.0262,0.0047,0.0034,0.0102,0.0029,0.0002,0.0,0.0,0.0002,-0.0071,0.0001,-0.0,0.0003,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,69.0,70.0,68.0,70.0,20964700,-0.0069,-0.2682,0.0401,0.0151,-0.0719,0.082,0.0054,0.0,0.0206,-0.0832,0.0074,0.0,-0.0061,-0.0,0.0029,0.17,0.0007,0.0003,0.0001,0.0017,0.1981,0.0023,-0.0672,-0.0011,0.0156,0.0,-0.0266,-0.0048,-0.0018,0.0014,-0.0272,-0.0001,0.0007,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,67.0,69.0,67.0,69.0,13994600,0.0068,-0.0626,-0.0449,-0.002,-0.0355,0.044,0.0183,0.0068,0.0537,0.0025,0.0002,-0.0001,-0.0023,0.0013,0.0014,-0.1351,-0.0017,0.0111,0.0068,0.0021,0.008,0.0001,0.0949,0.0009,0.0255,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,68.0,66.0,67.0,13163200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,67.0,69.0,66.0,68.0,13692100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,69.0,70.0,67.0,68.0,46983900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,68.0,71.0,68.0,70.0,24053700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,64.0,69.0,63.0,68.0,27724900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
