Date,Close,High,Low,Open,Volume,XC,XA,EP,XL,CC,PD,KK,NI,DR,OD,YP
2026-07-13,442.0,442.0,442.0,442.0,3600,0.0,0.0,0.0,-0.0,-0.0002,0.0006,0.0,0.0,0.0,0.0,-0.0003
2026-07-14,444.0,444.0,440.0,444.0,4300,-0.0004,0.0,0.0,0.0006,0.0001,0.0,0.0,0.0,0.0,-0.0,-0.0002
2026-07-15,444.0,444.0,432.0,442.0,3700,0.0003,0.0,0.0,0.0008,0.0,0.0,-0.001,-0.0001,-800.0,0.0,0.0
2026-07-16,444.0,444.0,442.0,444.0,3000,0.0001,0.0,0.0,-0.0001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,442.0,442.0,442.0,442.0,1000,-0.0002,0.0,-0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,444.0,448.0,444.0,444.0,3700,,,,,,,,,,,
2026-07-21,446.0,446.0,438.0,446.0,24300,,,,,,,,,,,
2026-07-22,452.0,452.0,448.0,448.0,11700,,,,,,,,,,,
2026-07-23,442.0,452.0,426.0,452.0,13300,,,,,,,,,,,
2026-07-24,446.0,448.0,430.0,448.0,2200,,,,,,,,,,,
