Date,Close,High,Low,Open,Volume,PI,ZR,XL,PD,YP,AD,AT,DU,XC,OD,FZ,NI,PC,AZ,IH,BR,HD,AR,IN,CP,CC,EL,YB,PF,IF,KK,SF,BQ,PG,YJ,AI,ZP
2026-07-13,306.0,312.0,306.0,312.0,207100,-0.0111,-0.0059,0.002,0.0,-0.0131,0.0,0.0,0.0,0.0139,-0.0001,0.0,-0.0,-0.0052,0.0,0.0091,0.0132,0.0001,0.0072,0.0,0.0114,-0.0018,0.0,0.0,-0.0108,0.0,-0.001,0.0,0.0,-0.0081,0.0,0.0,0.0001
2026-07-14,316.0,324.0,304.0,306.0,336700,0.0,-0.0214,-0.0242,0.0001,-0.0003,0.0,0.0,0.0,0.0055,-0.0,-0.021,0.0006,0.0,0.0,0.0026,0.0104,0.0,0.0122,0.0,0.0092,-0.003,0.0,0.0,0.0,0.0,-0.0026,0.0183,-0.0007,-0.0104,0.0245,800.0,0.0001
2026-07-15,310.0,318.0,306.0,316.0,519400,-0.021,0.0,0.0125,0.0163,-0.0488,0.049,0.0,0.0356,-0.0003,0.0,-0.0126,-0.0005,-0.0079,-0.0126,0.0076,0.004,0.0004,-0.0229,0.0,0.0039,0.0141,0.0,0.0,0.0,-0.0001,-0.0006,-0.0005,0.0003,-0.0158,0.0,0.0,0.0
2026-07-16,310.0,314.0,306.0,310.0,520200,-0.014,0.0,-0.0001,-0.0147,0.0009,-0.0172,0.039,0.0339,-0.0,0.0003,-0.0124,0.0,0.0,0.0,0.0,-0.0187,-0.0003,-0.0722,0.0401,0.0026,-0.0003,0.0385,-0.0002,-0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,314.0,314.0,310.0,312.0,564500,-0.0374,0.0397,0.0013,-0.0006,0.0035,-0.0312,0.0329,-0.0382,-0.0,-0.0001,-0.0343,-0.0,-0.0156,0.0581,-0.0078,0.0351,-0.0002,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,332.0,380.0,314.0,316.0,1545200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,332.0,350.0,332.0,350.0,546800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,322.0,332.0,318.0,332.0,945700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,322.0,328.0,318.0,328.0,830400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,316.0,322.0,316.0,322.0,599900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
