Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,PC,AT,AK,EP,YP,DH,CC,YB,NI,BQ,IU,HD,QA,SQ,YJ,RO,KK,CP,ZP,KI,AG,BK,OD,AI,DX,XL,IN,FZ,MG,TP,AR,RG,IF,AO,GR,BR,FS,HP,PD,DR,II,DU,LS,SA,CD,SF,TF,MU
2026-07-13,95.0,95.0,89.0,94.0,80177500,-0.0382,-0.0012,-0.0028,0.0829,0.0453,-0.0096,-0.0112,0.1968,-0.0409,-0.0658,-0.0648,0.643,-0.1774,0.1728,-0.0196,-0.0063,-0.0042,0.0019,-0.0066,0.0025,0.0046,-0.0938,0.0676,0.1401,0.002,0.0,0.0639,0.0242,0.0004,0.0,-0.6839,0.0027,0.0,0.0042,-0.0009,0.0,-0.0004,-0.0196,-0.0015,0.037,0.0,-0.0061,-0.0195,-0.1873,-0.0157,0.0,-0.005,0.0001,0.0,0.0,0.0,0.0,-0.0094
2026-07-14,94.0,96.0,93.0,96.0,53883800,-0.0458,-0.0009,0.0,-0.0756,-0.0212,0.0,0.0104,-0.0375,0.0641,-0.0185,0.0938,0.0303,0.3408,0.0204,-0.0063,-0.0004,0.0,0.0308,0.024,-0.0027,-0.0055,0.0571,-0.039,0.1426,0.0059,0.0029,-0.0401,-0.0951,0.0,0.0048,-0.4568,-0.0663,0.0003,-0.0121,0.0009,0.0,-0.0001,-0.0004,0.0031,0.0056,0.0,-0.0001,-0.0058,0.1455,0.0001,0.0,-0.0047,-0.049,0.0009,0.0,0.0,-0.0005,0.0
2026-07-15,92.0,98.0,92.0,94.0,117282100,0.113,0.0774,-0.0035,-0.0165,-0.0883,0.0075,0.0113,-0.4935,-0.1916,0.1218,0.0,-1.0,0.1133,0.0085,0.013,0.0076,-0.0054,-0.0078,0.034,-0.094,0.0,-0.0596,0.0469,-0.0281,-0.0011,-0.0001,-0.0256,-0.0336,0.0095,0.0039,1.2,-0.0048,-0.0003,-0.0447,0.0,0.025,-0.0003,0.0,0.0925,0.0124,0.0048,0.0091,-0.0188,0.1636,0.0049,0.0,0.0096,0.0101,0.0,0.0184,0.0092,0.0,0.0
2026-07-16,95.0,96.0,91.0,92.0,103755300,-0.1463,-0.0052,0.0084,0.0223,0.0326,-0.0078,0.0009,0.0957,0.0087,1.8,-0.098,0.2552,-0.6615,0.0232,0.0341,-0.0288,-0.019,-0.0072,-0.0226,0.0009,-0.0086,0.0156,-0.1969,0.0633,-0.0033,-0.0026,-0.0039,0.0167,-0.001,0.0,-0.8248,0.0,0.0,0.04,-0.0015,0.0,0.0,0.0,-0.0935,-0.0202,0.0,0.0227,-0.0063,-0.2028,-0.0573,-0.0235,-0.0092,-0.0096,0.0009,0.0009,0.0,0.0,0.0
2026-07-17,95.0,98.0,94.0,95.0,92136600,-0.1056,-0.0,-0.0033,0.107,-0.0062,0.0002,-0.0005,0.0079,0.0604,0.8854,-0.0963,-0.6394,-0.1342,0.0107,-0.0629,0.0094,-0.0049,-0.0052,-0.0385,0.0,-0.0009,-0.0405,0.6112,0.0222,-0.0145,0.0397,0.0982,-0.2123,-0.0243,-0.005,-0.6359,-0.0004,0.0146,-0.0888,0.0162,-0.0228,-0.0004,0.006,0.0004,0.008,0.0,0.0019,0.0005,0.2428,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,98.0,101.0,94.0,96.0,231619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,103.0,108.0,96.0,98.0,521402300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,111.0,115.0,98.0,104.0,1193981200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,121.0,132.0,108.0,111.0,1529763800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,114.0,127.0,106.0,123.0,679718600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
