Date,Close,High,Low,Open,Volume,OD,DH,CP,PD,CC,DR,XL,YP,NI,EP,AZ,KK,HD,XC,SQ,QA,IF,KI,PC,AI,AK,YO,IH,DX,YU,MI,GR,MG
2026-07-13,183.0,185.0,181.0,185.0,112600,0.0,-0.0,0.0001,0.0055,-0.0058,0.0,0.0002,0.0016,-0.0007,0.0,0.0,0.0029,-0.0002,-0.0011,-0.0044,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,-0.0018,0.0007,0.0,0.0,0.0,-0.0018
2026-07-14,183.0,185.0,173.0,182.0,186100,0.0,0.0,0.0002,0.004,0.0001,0.0,-0.0063,-0.0018,-0.0136,0.0,0.0,-0.0001,0.0,0.0001,0.0196,0.0,0.0,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.001,0.0,0.0
2026-07-15,185.0,185.0,176.0,183.0,3721600,0.0,0.0,0.0,0.6181,0.0073,0.0,0.0111,0.0019,-0.0033,-0.6346,0.0,0.0045,0.0001,0.0011,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0032,-0.0125,-0.0001,0.0031,0.0,0.0,0.0,0.0
2026-07-16,187.0,187.0,185.0,186.0,143700,0.0,0.0,0.0,0.0083,0.008,0.0,-0.0039,0.0007,-0.0099,0.0,0.0,-0.0004,0.0,-0.0018,0.0,-0.0001,0.0009,0.0002,-0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,186.0,188.0,185.0,187.0,174800,0.001,0.0,0.0009,0.0089,0.0069,0.0,-0.0006,-0.0195,0.0036,0.0003,-0.0,-0.0017,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,188.0,190.0,184.0,184.0,119500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,189.0,190.0,187.0,188.0,439100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,187.0,190.0,180.0,190.0,402500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,186.0,187.0,184.0,186.0,139300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,185.0,186.0,182.0,186.0,97600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
