Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,YP,RO,SQ,OD,NI,AZ,GR,XL,CC,EP,XC,BQ,PD,MU,DH,DR,AT,YB,KK,GI,QA,LG,YU,AO,CP
2026-07-13,308.0,314.0,282.0,282.0,11700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0003,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0006,-0.0006,0.0,0.0005,0.0,0.0003,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-14,312.0,316.0,308.0,308.0,17300,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0007,-0.0,0.0,0.0,0.0,0.0,0.0,0.0007,-0.001,0.0,0.0007,0.0,0.0,0.0,0.0,0.0001,-0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,308.0,312.0,302.0,312.0,21900,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0004,0.0,0.0,0.0,-0.0001,0.0001,0.0,0.0037,0.0001,0.0,-0.0021,0.0,0.0,0.0,-0.0023,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,300.0,318.0,288.0,310.0,144100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0003,-0.0002,0.0,0.0034,0.0006,-0.0029,0.0001,-0.0108,0.0184,-0.0005,-0.0057,-0.0001,-0.0002,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,300.0,318.0,294.0,318.0,77500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0008,0.0011,0.0004,0.0001,-0.009,0.0073,0.0016,0.0019,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,302.0,302.0,300.0,302.0,59500,,,0.0017,0.0,-0.0,0.0,0.0,0.0,0.0,0.0055,0.0011,0.0,0.0043,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,-0.0121,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,304.0,306.0,294.0,300.0,196300,,,0.0012,0.0,0.0,0.0226,0.0001,-0.0149,0.0,-0.0086,0.0137,0.0,0.0001,0.0,0.0,0.0,-0.0022,-0.0,-0.0003,0.0,-0.0117,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,298.0,304.0,294.0,294.0,125500,,,0.0009,0.0002,0.0,0.0,0.0,0.0159,0.0,0.0054,-0.0158,0.0,0.0012,0.0,-0.0036,0.0,0.0015,0.0,0.0,0.0,-0.005,0.0,0.0,0.0001,-0.0002,-0.0007,0.0
2026-07-23,298.0,302.0,298.0,298.0,119200,,,0.0006,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0072,-0.0165,0.0,0.0002,0.0,0.01,0.0,0.0,0.0,0.0,-0.0003,-0.0012,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-24,300.0,300.0,288.0,298.0,78400,,,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0001,0.0041,0.0124,0.0,0.0006,0.0,-0.0152,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
