Date,Close,High,Low,Open,Volume,GR,YJ,PD,DR,YP,XL,IF,KK,AT,XC,SQ,AK,NI,YU,AZ,ZP,HD,RO,MG,CP,CC,XA,AI,TP,BQ,YB,PG,HP,OD,DH
2026-07-13,204.0,204.0,196.0,198.0,301100,100.0,-0.0099,0.0479,0.0009,-0.0104,-0.0206,0.0,0.0,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0026,0.0,-0.0004,0.0,-0.0018,0.0,0.0002,-0.0088,0.0,0.0,0.0,0.0,0.0,0.002,-0.0002,-0.0019
2026-07-14,204.0,204.0,199.0,204.0,357900,0.0,-0.0088,0.0328,-0.0218,0.001,0.0087,0.0,-0.0,0.0,0.0026,0.0102,0.0002,0.0002,0.0,0.0,0.0,-0.0006,0.0,-0.0008,-0.0002,-0.0064,0.0,0.0,900.0,0.0,0.0,-0.0151,-0.002,0.0,0.0
2026-07-15,199.0,206.0,196.0,200.0,201900,-0.0002,-0.0021,0.0001,-0.0001,-0.0112,-0.0006,0.0,0.0,0.0044,-0.0019,0.0,0.0,0.0013,0.0,0.0,0.0,0.0005,0.0,0.0123,-0.0071,0.005,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,206.0,216.0,196.0,202.0,1126200,-0.0,-0.0012,-0.0551,-0.0013,-0.0183,0.0216,-0.0,-0.0011,-0.0042,-0.0062,0.0,0.0,0.0011,0.0021,0.11,-0.0043,-0.0004,0.0001,-0.0028,-0.0006,0.0102,0.0095,-0.0588,-0.001,0.0,0.0007,0.0,0.0,0.0,0.0
2026-07-17,202.0,208.0,199.0,206.0,554400,0.0005,-0.0008,0.0651,0.0006,0.0016,-0.0752,-0.0001,0.0,0.0026,-0.0005,0.002,-0.0,-0.0,-0.0206,0.0031,0.0134,-0.0001,-0.0001,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,202.0,204.0,198.0,202.0,443200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,202.0,206.0,199.0,202.0,1557600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,220.0,240.0,200.0,202.0,6687200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,216.0,224.0,214.0,220.0,649700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,208.0,220.0,204.0,220.0,878800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
