Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,PD,XA,EP,KI,KK,AT,LS,SQ,TP,XC,OD,QA,BQ,NI,YU,AZ,ZP,YB,RO,MG,DR,AO,DH,PG,LG,AG,GI,ES,AI
2026-07-13,57.0,59.0,56.0,57.0,20672700,0.0788,0.0107,-0.0597,-0.0065,-0.0068,0.0424,-0.01,0.0,0.0,-0.0023,0.0,-0.0002,0.0009,0.0033,-0.0077,-0.0,-0.0,0.0001,-0.0551,-0.0001,0.0001,0.0,0.0011,-0.0,0.0114,0.0,0.0,0.0008,0.0,0.0,-0.0003,-0.0001,-0.0006,-0.0
2026-07-14,57.0,58.0,55.0,55.0,7093500,-0.1664,0.0094,-0.0071,0.009,0.0472,0.0004,0.0863,0.0,0.0,0.0033,0.0,0.0,0.0014,0.0,0.0054,-0.0001,0.0,0.0,0.0029,0.0,-0.0001,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,-0.0005,0.0004,0.0,0.0,0.0,0.0
2026-07-15,58.0,58.0,56.0,57.0,6449800,0.1156,-0.007,-0.0799,-0.018,0.0049,-0.0115,0.0109,0.0,0.0,-0.0021,0.0011,0.0,-0.004,-0.0,-0.0016,-0.001,0.0,-0.0005,-0.0012,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,57.0,58.0,56.0,56.0,25525200,-0.1177,0.0048,-0.0411,-0.0327,0.0424,-0.111,0.1548,0.0,0.0057,0.0406,0.0,0.0,-0.0121,0.0,0.0134,0.0,0.0004,-0.0002,0.0076,-0.0001,-0.0,0.0,-0.0001,-0.0001,0.0218,-0.0001,0.0232,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,57.0,60.0,56.0,57.0,21025500,0.0472,0.026,-0.0692,0.0134,0.0098,-0.0116,-0.0178,0.0069,-0.005,-0.0079,0.0011,-0.0007,-0.0002,-0.0035,-0.0053,0.0,0.022,0.0016,0.0252,-0.0002,-0.0026,0.0015,-0.0011,0.0048,-0.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,59.0,59.0,57.0,58.0,22192100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,59.0,62.0,57.0,59.0,23383400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,58.0,60.0,57.0,59.0,15439800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,58.0,59.0,56.0,57.0,15495400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,58.0,60.0,56.0,57.0,32360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
