Date,Close,High,Low,Open,Volume,CP,GR,XL,PD,CC,XA,DR,YP,EP,BK,KK,AT,DU,XC,SQ,TP,OD,BQ,AK,NI,AZ,LG,HD,MG,AG,YB,YJ,GI,DH,IF,ZP,RO
2026-07-13,101.0,107.0,100.0,102.0,6096200,0.0,0.0,0.036,-0.0529,0.0091,-0.0021,0.003,0.0051,0.0283,0.005,-0.0022,-0.0001,-0.0455,0.0094,-0.0,0.0,-0.0037,0.0038,-0.0599,0.0006,0.0,0.0716,-0.0,0.0041,0.0003,-0.0102,0.005,0.001,-0.0103,0.0062,-0.0013,-0.0003
2026-07-14,102.0,104.0,100.0,102.0,4207600,0.0,0.0,-0.0848,-0.1786,-0.0017,0.0,0.006,-0.0042,0.0051,0.0068,0.0036,0.0,-0.0406,0.0164,0.0002,0.0521,0.0031,-0.0,0.0086,0.0014,0.0,0.1824,0.0003,0.0072,0.0026,0.0091,0.0031,-0.001,0.003,0.0,0.0,0.0
2026-07-15,103.0,104.0,101.0,103.0,2799800,0.0,0.0,0.0947,0.0052,-0.0033,0.0,-0.0011,-0.0009,-0.0078,0.0066,0.0008,0.006,-0.0863,-0.065,-0.0001,0.0612,0.0071,0.0185,-0.0297,-0.0006,0.0,0.0005,-0.0003,0.0061,-0.0023,-0.0093,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,103.0,104.0,103.0,103.0,1418000,0.0023,0.0,-0.0532,-0.0001,0.0204,0.0,-0.001,0.0037,0.0088,0.0,0.0008,-0.0051,-0.0104,-0.0372,0.0005,0.0939,0.0001,0.0044,-0.0237,-0.0003,0.0,-0.0006,0.0,-0.0021,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,106.0,109.0,103.0,104.0,4351300,0.0001,0.0,0.2325,-0.0053,-0.0149,0.0,-0.0073,-0.0066,-0.0082,-0.0029,0.0178,-0.0011,0.0598,-0.0355,-0.0015,-0.2151,-0.0003,-0.0069,-0.0039,-0.0001,-0.0,0.0015,0.001,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,105.0,107.0,103.0,107.0,2792200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,104.0,108.0,103.0,105.0,1771400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,105.0,108.0,103.0,105.0,1921900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,107.0,108.0,104.0,106.0,2953700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,108.0,109.0,105.0,107.0,3308600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
