Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,DH,EP,YJ,KI,AK,XA,ZP,OD,GR,CP,BK,PO,YU,HD,CC,YP,DR,RO,SQ,AG,NI,AZ,XC,KK,PD,IF,XL,CD,TP,LG,YB,QA,PC,AT,PP,BR,HP,BQ,MG,BS,SS,AR,AO,DX,RB,AI,FS,ES,BB,SH,AD,SA
2026-07-13,6300.0,6375.0,6275.0,6325.0,698400,Barang-Konsumen-Primer,Makanan-Minuman,0.0521,0.0,0.0,0.0044,-0.0045,0.0,-0.0404,0.0134,0.0063,-0.0841,-0.0139,0.0,0.1929,-0.0058,0.0789,0.0101,0.0472,0.0019,-0.0277,0.0315,0.0916,0.0019,0.1743,0.0094,-0.1135,0.057,0.2789,0.0,0.0474,-0.0057,-0.0025,0.0,0.0,0.0,0.0,0.0,-0.0038,0.0809,0.0,0.0995,-0.9463,0.0,0.0,0.0,0.0,0.0,-0.0315,0.0,0.0,0.0,0.0,0.0
2026-07-14,6300.0,6450.0,6300.0,6350.0,694200,Barang-Konsumen-Primer,Makanan-Minuman,0.1629,0.042,-0.0032,0.0038,0.2264,-0.0064,0.0006,0.0272,0.0209,0.218,-0.2438,0.0063,-0.0129,-0.0064,-0.4605,0.8548,0.0075,0.0,0.0711,0.0,-0.1396,0.0038,0.0079,0.0066,0.5879,0.0,-0.173,-0.0005,-0.1099,0.1891,-0.0019,-0.0006,0.0,0.0032,0.0,0.0,0.0101,0.0057,-0.063,0.0,-1.3,-0.0063,0.0032,0.0445,-0.0019,-0.0006,-0.0128,0.0,0.0,0.0,0.0,0.0
2026-07-15,6300.0,6350.0,6275.0,6350.0,468100,Barang-Konsumen-Primer,Makanan-Minuman,-0.0038,-0.0343,0.0,-0.0044,0.3728,0.0,0.0303,0.0931,-0.0196,-0.2233,0.2099,0.0,0.0,-0.0038,-0.0484,0.2086,-0.0333,0.0006,0.0032,-0.0006,-0.0295,0.0038,0.0227,0.0762,0.0812,0.1386,-0.3208,0.0,-0.1306,-0.1701,0.0,0.0,0.0,0.0284,0.0,0.0,0.0,0.0214,-0.0006,-0.2678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,6425.0,6425.0,6300.0,6300.0,414900,Barang-Konsumen-Primer,Makanan-Minuman,-0.0057,-0.0127,-0.0019,-0.0032,0.2973,-0.0129,-0.0034,-0.0166,0.0631,0.0,-0.0665,0.0,0.0,-0.0,0.126,-0.145,-0.0038,-0.0006,-0.0735,0.0096,-0.0357,0.0,-0.0206,0.1825,0.2748,0.0,-0.491,-0.0649,-0.0365,0.0,-0.0172,-0.0013,-0.0006,-0.042,0.214,-0.0006,-0.0032,-0.1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,6450.0,6450.0,6375.0,6425.0,693500,Barang-Konsumen-Primer,Makanan-Minuman,0.336,0.0924,0.0193,0.0006,-1.7,-0.0058,0.8155,0.0195,-0.0509,0.0321,-0.194,-0.0064,-0.0032,0.0006,-0.0755,0.1408,0.0866,0.0045,0.1085,-0.0964,0.3038,-0.0065,-0.0301,-0.3444,0.0146,0.0006,0.397,-0.0643,0.0486,0.192,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6525.0,6550.0,6450.0,6450.0,835400,,,0.0291,0.3988,-0.0033,0.0,-2.2,0.1869,-0.1801,0.092,-0.0026,0.3268,-0.2652,0.0,0.1348,-0.0006,-0.8247,0.1893,0.0751,0.0006,0.4596,0.0,0.4328,0.0973,0.1306,0.0143,0.0616,-0.0711,0.7102,0.0648,0.013,0.0695,0.0343,0.0,0.0325,0.0097,0.0,0.0,0.0,0.013,0.039,-0.0408,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033,-0.0006,0.0,0.0,0.0,-0.0006
2026-07-21,6500.0,6550.0,6450.0,6525.0,931400,,,0.0601,0.2228,0.0,0.0,-2.3,-0.0066,-0.3216,0.1674,0.1195,0.1612,-0.0318,0.0,0.0226,0.0,-0.1326,0.8366,-0.0456,0.0098,0.1418,-0.0461,-0.5168,0.0006,0.1651,0.4268,0.2674,0.0,0.3357,0.1219,-0.0214,0.0182,-0.0383,0.0,0.0,0.0311,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,-0.0033,0.0098,0.0,0.0,0.0,0.0,0.3458,0.0,0.0,0.0
2026-07-22,6475.0,6575.0,6400.0,6575.0,732300,,,0.0694,-0.0598,0.0,0.0,-0.1547,0.0,-0.1352,0.3417,0.0163,0.1289,-0.0142,0.0,0.138,0.0026,-0.1337,0.4138,0.0017,0.0705,-0.0602,0.0,0.2732,0.0,0.1904,0.0611,-0.858,0.0013,0.1433,-0.1299,-0.0168,0.0,0.0039,0.0006,0.0,-0.0148,0.0,0.0,-0.0103,0.0006,-0.0165,0.0,0.0,0.0,0.0136,0.0259,0.0,0.0,0.0,0.0,-0.2929,0.0,0.0,0.0
2026-07-23,6650.0,6700.0,6450.0,6475.0,2312800,,,-0.1259,-0.3809,0.0301,-0.004,-0.1038,0.0007,-1.9,-0.2607,0.0,-0.5587,-0.0939,0.0,-0.6362,0.0001,1.3,-0.3807,-0.0073,0.0013,0.7737,0.0,-0.3509,-0.0174,-0.2862,0.2777,5.0,-0.1955,-1.1,-0.1609,-0.036,-0.1634,-0.0039,0.0,0.0,-0.0051,0.0,0.0,0.0053,0.0,0.0,0.0,-0.665,0.0,0.0,0.0,0.0,0.0198,-0.0033,-0.0132,0.0991,-0.067,0.0,0.0
2026-07-24,6525.0,6675.0,6475.0,6650.0,1072300,,,0.0346,-0.0707,0.0,0.0052,-0.3976,-0.2027,-1.1,0.0221,-0.037,0.0019,0.0613,0.0,-0.0328,-0.0034,-0.7335,0.0668,-0.0126,0.0072,-0.027,0.0,0.1848,-0.0363,0.0235,-0.034,3.4,-0.006,0.2224,0.0,-0.2257,-0.0092,-0.0013,0.0007,0.0,-0.0019,0.0,0.0,0.0,0.0217,-0.8201,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133,0.0033,-0.0002,-0.3415,0.0,0.0,0.0
