Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,AT,AK,EP,RB,YP,DH,CC,YB,NI,BQ,PD,TF,HD,SQ,KK,CP,ZP,ZR,KI,OD,BK,BB,XL,AG,DX,MG,TP,AR,RX,IF,AO,GR,RO,DR,MI,PC,ES,PP,QA,PO,AI,SH,CD,RS,IU,YJ,RG,RF,FS,HP,KZ,SS,PG,BS,SF,DU,FZ,ID
2026-07-13,500.0,500.0,484.0,494.0,46083200,-0.3241,-0.0281,0.1167,0.4164,-0.004,-0.0189,0.4433,0.0364,0.0,-1.1,-0.1648,-2.5,0.0021,0.1738,0.456,-0.4371,-0.0038,0.0026,0.7646,0.0636,0.369,-0.8925,-0.005,0.1745,-0.0093,0.7722,0.0,0.5075,0.0015,0.1046,1.2,0.0566,-0.025,0.0,-0.0097,0.0062,0.0208,0.0044,-0.0148,0.0394,-0.0005,0.0,0.0,0.0,0.0,-0.0041,0.0,-0.0,0.0,0.0005,-0.4583,0.06,0.0,0.1765,-0.0173,0.0,0.0,0.0,-0.001,-0.0,-0.0001,-0.005,-0.0049
2026-07-14,510.0,520.0,496.0,500.0,89404900,-0.7662,-3.9,1.2,-0.8074,0.0062,-0.0401,6.6,0.0276,0.0,-1.5,0.0066,-0.9693,-1.1,-0.2592,-0.4597,-0.1853,0.0,0.4384,-0.3505,-0.0383,-0.377,1.0,0.0,0.275,0.4258,1.2,0.0,-2.9,-0.6799,0.009,1.9,-0.0793,0.0,0.0,-0.0107,-0.2652,-0.0272,-0.0213,0.0,-0.0408,0.0,0.0,0.0,0.0052,0.0,-0.0104,0.0,0.0,0.0,0.0129,0.0041,-0.0536,0.0,0.0303,0.0532,2.4,-0.515,-0.2525,0.0,0.0,0.0,0.0,0.0
2026-07-15,520.0,530.0,505.0,515.0,83260500,-1.1,0.7375,-0.2265,0.3068,0.1419,-0.0524,2.4,-0.2811,0.0,0.76,0.6264,-0.168,0.1724,-0.3756,-0.2858,0.4047,0.0002,-0.2996,-1.1,0.1055,-0.3356,-2.4,0.0131,1.8,-0.6901,0.0185,0.0,1.7,-0.0088,-0.0021,-0.4447,0.1248,0.0,0.0,-0.0042,-0.2589,-0.9807,-0.0085,-0.0485,0.0,0.0008,0.0,0.0,0.0014,0.0,-0.0336,-0.0159,0.0,0.0263,0.0105,-0.105,0.001,-0.0156,-0.0286,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,525.0,530.0,515.0,525.0,48812000,-2.0,0.1038,0.5779,-0.5266,0.0405,0.0871,-2.4,0.0098,0.0,0.6562,0.4578,0.5679,-0.0399,1.5,0.3401,0.8583,0.0,-0.001,-0.0462,0.0197,0.3172,0.8875,0.0,1.0,0.2571,-0.0526,0.0,0.8014,0.1425,0.0299,-2.5,0.156,0.0,0.0,-0.0521,0.0,0.0155,0.0947,-0.3581,0.005,-0.0008,-0.0005,0.1084,-0.0046,-0.1575,-1.0,-0.0025,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,515.0,530.0,510.0,525.0,44914400,0.7535,0.3181,-0.088,0.2717,0.101,0.0744,-4.4,0.0569,-0.005,-2.5,0.116,-2.8,0.1413,1.1,0.8362,1.3,-0.0142,0.2313,2.8,0.2536,0.2938,1.1,-0.0026,-1.1,0.207,-0.2887,-0.8276,1.4,-0.0473,-0.0003,0.0392,0.2261,0.1555,0.0385,-0.0484,-0.0056,0.2173,0.0282,0.1435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,525.0,525.0,515.0,515.0,58486900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,540.0,540.0,520.0,525.0,125965900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,535.0,555.0,525.0,540.0,112368200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,535.0,560.0,535.0,540.0,124454000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,505.0,530.0,500.0,530.0,101970900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
