Date,Close,High,Low,Open,Volume,XC,SQ,YB,XA,AZ,KK,NI,BQ,CP,CC,OD,PD,XL,YP,HD,RO,DR,TP,QA,ZP,DX,YU,DH
2026-07-13,180.0,180.0,177.0,180.0,178700,-0.0111,-0.0015,0.0,0.0037,-0.0027,-0.0002,0.0,0.0,0.0,0.0068,-0.0025,0.0007,0.0055,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0
2026-07-14,180.0,180.0,176.0,180.0,383700,-0.0038,0.0006,0.0,0.022,0.0334,0.0001,0.0,-0.0011,0.0,0.0028,0.0,0.0003,-0.0035,0.0002,0.0,0.0,0.0,-0.0531,0.0001,0.002,0.0,0.0,0.0
2026-07-15,180.0,180.0,178.0,180.0,53800,0.0001,0.0,0.0,0.0077,-0.0028,0.0001,0.0,0.0,0.0009,0.0,0.0,0.0003,-0.0063,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,179.0,180.0,177.0,180.0,888700,-0.0008,0.0019,-0.0036,0.1193,0.0077,-0.0002,0.0,0.0,0.0,-0.0668,0.0,0.0047,-0.0685,0.0025,-0.0,0.0,0.0001,0.0036,0.0,0.0,0.0,0.0,0.0
2026-07-17,180.0,189.0,176.0,176.0,600200,-0.0002,0.0,-0.0037,0.0464,-0.039,0.0001,0.002,0.0001,0.0002,-0.0032,0.0002,-0.003,-0.0001,0.0004,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,181.0,182.0,177.0,182.0,42500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,181.0,182.0,178.0,182.0,69100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,179.0,182.0,179.0,182.0,101100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,181.0,188.0,181.0,183.0,71500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,182.0,183.0,179.0,183.0,32000,,,,,,,,,,,,,,,,,,,,,,,
